date,cases,active,death
2020-03-10, 1,0,0
2020-03-11, 3.00,0,0
2020-03-12, 3.01,0,0
2020-03-13, 3.02,0,1.
2020-03-14, 3.03,0,1.
2020-03-15, 3.04,0,1.
2020-03-16, 7,0,1.
2020-03-17, 14,0,2.
2020-03-18, 16,0,2.
2020-03-19, 26,0,3.
2020-03-20, 41,0,3.
2020-03-21, 47,0,3.
2020-03-22, 72,0,3.
2020-03-23, 73,0,3.
2020-03-24, 97,0,3
2020-03-25,145,0,5
2020-03-26,196,0,5
2020-03-27,310,300,5
2020-03-28,418,404,9
2020-03-29,475,459,10
2020-03-30,549,528,13
2020-03-31,645,618,17
2020-04-01,794,761,20
2020-04-02,897,856,22
2020-04-03,1072,1023,27
2020-04-04,1225,1168,32
2020-04-05,1308,1243,37
2020-04-06,1319,1253,38
2020-04-07,1462,1389,45
2020-04-08,1668,1581,52
2020-04-09,1892,1790,57
2020-04-10,2203,2073,69
2020-04-11,2511,2359,73
2020-04-12,2777,2605,83
2020-04-13,3102,2912,93
2020-04-14,3372,3155,98
2020-04-15,3764,3513,108.0
2020-04-16,4161,3859,116.0
2020-04-17,4662,4291,116.0
2020-04-18,5106,4698,133.0
2020-04-19,5449,4961,141.0
2020-04-20,5710,5200,151.0
2020-04-21,6125,5597,161.0
2020-04-22,6592,5994,174.0
2020-04-23,7170,6479,187.0
2020-04-24,7647,6853,193.0
2020-04-25,8125,7142,201.0
2020-04-26,8617,7568,209.0
2020-04-27,9410,8179,239.0
2020-04-28,9866,8513,250.0
2020-04-29,10406,8907,261.0
2020-04-30,10861,9176,272.0
2020-05-01,11411,9634,279.0
2020-05-02,11913,10077,288.0
2020-05-03,12331,10409,303.0
2020-05-04,12697,10506,316.0
2020-05-05,13184,10760,327.0
2020-05-06,13691,10955,340.0
2020-05-07,14195,11128,361.0
2020-05-08,14710,11425,376.0
2020-05-09,15232,11781,391.0
2020-05-10,15648,11952,408.0
2020-05-11,16023,12225,425.0
2020-05-12,16425,12270,439.0
2020-05-13,16847,12248,456.0
2020-05-14,17330,12381,476.0
