date,cases,active,death
2020-02-15,1,0,0
2020-03-02,2,0,0
2020-03-06,3,0,0
2020-03-07,15,0,0
2020-03-08,27,0,0
2020-03-09,49,0,0
2020-03-10,55,0,0
2020-03-11,59,0,0
2020-03-12,60,0,0
2020-03-13,80,0,0
2020-03-14,93,0,0
2020-03-15,101,0,0
2020-03-16,110,0,0
2020-03-17,126,0,0
2020-03-18,166,0,0
2020-03-19,196,0,0
2020-03-20,210,0,0
2020-03-21,256,0,0
2020-03-22,285,0,0
2020-03-23,294,0,0
2020-03-24,327,0,0
2020-03-25,366,0,0
2020-03-26,442,0,0
2020-03-27,456,0,0
2020-03-28,495,0,0
2020-03-29,536,0,0
2020-03-30,576,0,0
2020-03-31,609,0,0
2020-04-01,656,0,0
2020-04-02,710,0,0
2020-04-03,779,0,0
2020-04-04,985,0,0
2020-04-05,1173,848,0
2020-04-06,1322,978,0
2020-04-07,1450,1080,0
2020-04-08,1560,1152,0
2020-04-09,1699,1233,0
2020-04-10,1794,1275,0
2020-04-11,1939,1367,0
2020-04-12,2065,1317,0
2020-04-13,2190,1437,0
2020-04-14,2350,1583,0
2020-04-15,2505,1733,183
2020-04-16,2673,1881,196
2020-04-17,2844,1993,205
2020-04-18,3032,2107,224
2020-04-19,3144,2173,239
2020-04-20,3333,2262,250
2020-04-21,3490,2356,264
2020-04-22,3659,2448,276
2020-04-23,3891,2600,287
2020-04-24,4092,2723,294
2020-04-25,4319,2898,307
2020-04-26,4534,3041,317
2020-04-27,4782,3209,337
2020-04-28,5042,3379,359
2020-04-29,5268,3553,380
2020-04-30,5537,3764,392
2020-05-01,5895,4029,406.0
2020-05-02,6193,4256,415.0
2020-05-03,6465,4474,429.0
2020-05-04,6813,4745,436.0
2020-05-05,7201,5019,452.0
2020-05-06,7588,5304,469.0
2020-05-07,7981,5612,482.0
2020-05-08,8476,6028,503.0
2020-05-09,8964,6448,514.0
2020-05-10,9400,6800,525.0
2020-05-11,9746,7041,533.0
2020-05-12,10093,7223,544.0
2020-05-13,10431,7389,556.0
2020-05-14,10829,7632,571.0
2020-05-15,11228,7837,592.0
2020-05-16,11719,8157,612.0
2020-05-17,12229,8427,630.0
2020-05-18,12764,8679,645.0
2020-05-19,13484,9083,659.0
2020-05-20,14229,9555,680.0
2020-05-21,15003,10090,696.0
2020-05-22,15786,10705,707.0
2020-05-23,16513,11150,735.0
2020-05-24,17265,11694,764.0
2020-05-25,17967,12284,783.0
2020-05-26,18756,12932,797.0
2020-05-27,19666,13645,816.0
2020-05-28,20793,14589,845.0
2020-05-29,22082,15692,879.0
2020-05-30,23449,16843,913.0
2020-05-31,24985,17989,959.0
2020-06-01,26384,18932,1005.0
2020-06-02,27536,19657,1052.0
2020-06-03,28615,20177,1088.0
2020-06-04,29767,20885,1126.0
2020-06-05,31115,21791,1166.0
2020-06-06,32612,22876,1198.0
2020-06-07,34079,23881,1237.0
2020-06-08,35444,24798,1271.0
2020-06-09,36829,25737,1306.0
2020-06-10,38284,26653,1342.0
2020-06-11,39726,27658,1377.0
2020-06-12,41303,28773,1422.0
2020-06-13,42980,29967,1484.0
2020-06-14,44598,31092,1575.0
2020-06-15,46289,32288,1672.0
2020-06-16,47856,33360,1766.0
2020-06-17,49219,34228,1850.0
2020-06-18,50437,34971,1938.0
2020-06-19,52211,36266,2017.0
2020-06-20,53758,37325,2106.0
2020-06-21,55233,38304,2193.0
2020-06-22,56809,39398,2278.0
2020-06-23,58141,40241,2365.0
2020-06-24,59561,41176,2450.0
2020-06-25,61130,42259,2533.0
2020-06-26,62755,43398,2620.0
2020-06-27,63923,44075,2708.0
2020-06-28,65188,44860,2789.0
2020-06-29,66754,45931,2872.0
2020-06-30,68311,46898,2953.0
2020-07-01,69814,47899,3034.0
2020-07-02,71299,48891,3120.0
2020-07-03,72711,49820,3201.0
2020-07-04,74035,50652,3280.0
2020-07-05,75253,51184,3343.0
2020-07-06,76222,51562,3422.0
2020-07-07,77279,52072,3489.0
2020-07-08,78304,52499,3564.0
2020-07-09,79254,52884,3617.0
2020-07-10,80235,53259,3702.0
2020-07-11,81158,53513,3769.0
2020-07-12,82070,53793,3858.0
2020-07-13,83001,54091,3935.0
2020-07-14,83930,54378,4008.0
2020-07-15,84843,54641,4067.0
2020-07-16,85771,54960,4120.0
2020-07-17,86474,54984,4188.0
2020-07-18,87172,55053,4251.0
2020-07-19,87775,55093,4302.0
2020-07-20,88402,55126,4352.0
