date,cases,active,death
2020-02-25,1,0
2020-02-26,1.01,0
2020-02-27,8,0
2020-02-28,15,0
2020-02-29,19,0
2020-03-01,24,0
2020-03-02,30,0
2020-03-03,58,0
2020-03-04,93,0
2020-03-05,120,0
2020-03-06,214,0
2020-03-07,268,0
2020-03-08,332,0
2020-03-09,374,0
2020-03-10,497,0
2020-03-11,652,0
2020-03-12,868,0
2020-03-13,1139,0
2020-03-14,1375,0
2020-03-15,2217,0
2020-03-16,2353,0
2020-03-17,2742,0
2020-03-18,3115,0
2020-03-19,4222,0
2020-03-20,5615,0
2020-03-21,6863,0
2020-03-22,7474,0
2020-03-23,8795,0
2020-03-24,9877,0
2020-03-25,10897,0
2020-03-26,11811,0
2020-03-27,12928,11167
2020-03-28,14076,12217
2020-03-29,14829,12934
2020-03-30,15922,13740
2020-03-31,16605,14349
2020-04-01,17768,14313
2020-04-02,18827,14278
2020-04-03,19606,14169
2020-04-04,20505,13424
2020-04-05,21100,13970
2020-04-06,21657,12836
2020-04-07,22253,12728
2020-04-08,23280,12585
2020-04-09,24051,12503
2020-04-10,24551,12449
2020-04-11,25107,11971
2020-04-12,25415,11609
2020-04-13,25688,10850
2020-04-14,25936,10062
2020-04-15,26336,9697,1239.0
2020-04-16,26732,9551,1281.0
2020-04-17,27078,9351,1327.0
2020-04-18,27404,8936,1368.0
2020-04-19,27740,8547,1393.0
2020-04-20,27944,7915,1429.0
2020-04-21,28063,7185,1478.0
2020-04-22,28268,6859,1509.0
2020-04-23,28496,6347,1549.0
2020-04-24,28677,6088,1589.0
2020-04-25,28894,5995,1599.0
2020-04-26,29061,5651,1610.0
2020-04-27,29164,5299,1665.0
2020-04-28,29264,4965,1699.0
2020-04-29,29407,5091,1716.0
2020-04-30,29586,4449,1737.0
2020-05-01,29705,4051,1754.0
2020-05-02,29817,3855,1762.0
2020-05-03,29905,3643,1762.0
2020-05-04,29981,2997,1784.0
2020-05-05,30009,2814,1795.0
2020-05-06,30060,2555,1805.0
2020-05-07,30126,2416,1810.0
2020-05-08,30207,2284,1823.0
2020-05-09,30251,2021,1830.0
2020-05-10,30305,1872,1833.0
2020-05-11,30344,1699,1845.0
2020-05-12,30380,1713,1867.0
2020-05-13,30413,1443,1870.0
2020-05-14,30463,1491,1872.0
2020-05-15,30514,1536,1878.0
2020-05-16,30572,1293,1879.0
2020-05-17,30587,1206,1881.0
2020-05-18,30597,1111,1886.0
2020-05-19,30618,1027,1891.0
2020-05-20,30658,966,1892.0
2020-05-21,30694,896,1898.0
2020-05-22,30707,904,1903.0
2020-05-23,30725,820,1905.0
2020-05-24,30736,730,1906.0
2020-05-25,30746,633,1913.0
2020-05-26,30761,646,1915.0
2020-05-27,30776,559,1917.0
2020-05-28,30796,577,1919.0
2020-05-29,30828,609,1919.0
2020-05-30,30845,526,1919.0
2020-05-31,30862,442,1920.0
2020-06-01,30871,451,1920.0
2020-06-02,30874,454,1920.0
2020-06-03,30893,372,1921.0
2020-06-04,30913,392,1921.0
2020-06-05,30936,415,1921.0
2020-06-06,30956,335,1921.0
2020-06-07,30965,344,1921.0
2020-06-08,30972,349,1923.0
2020-06-09,30988,354,1934.0
2020-06-10,31011,375,1936.0
2020-06-11,31044,307,1937.0
2020-06-12,31063,325,1938.0
2020-06-13,31094,356,1938.0
2020-06-14,31117,379,1938.0
2020-06-15,31131,292,1939.0
2020-06-16,31154,300,1954.0
2020-06-17,31187,331,1956.0
2020-06-18,31200,344,1956.0
2020-06-19,31235,379,1956.0
2020-06-20,31243,387,1956.0
2020-06-21,31292,336,1956.0
2020-06-22,31310,354,1956.0
2020-06-23,31332,376,1956.0
2020-06-24,31376,418,1958.0
2020-06-25,31428,470,1958.0
2020-06-26,31486,524,1962.0
2020-06-27,31555,493,1962.0
2020-06-28,31617,555,1962.0
2020-06-29,31652,590,1962.0
2020-06-30,31714,551,1963.0
2020-07-01,31851,686,1965.0
2020-07-02,31967,802,1965.0
2020-07-03,32101,936,1965.0
2020-07-04,32198,1033,1965.0
2020-07-05,32268,1003,1965.0
2020-07-06,32315,1050,1965.0
2020-07-07,32369,1103,1966.0
2020-07-08,32498,1132,1966.0
2020-07-09,32586,1220,1966.0
2020-07-10,32690,1324,1966.0
2020-07-11,32817,1349,1968.0
2020-07-12,32883,1315,1968.0
2020-07-13,32946,1378,1968.0
2020-07-14,33016,1248,1968.0
2020-07-15,33148,1380,1968.0
2020-07-16,33290,1421,1969.0
2020-07-17,33382,1513,1969.0
2020-07-18,33492,1623,1969.0
2020-07-19,33591,1322,1969.0
2020-07-20,33634,1363,1971.0
2020-07-21,33742,1470,1972.0
2020-07-22,33883,1411,1972.0
2020-07-23,34000,1525,1975.0
2020-07-24,34154,1677,1977.0
2020-07-25,34302,1825,1977.0
2020-07-26,34412,1735,1977.0
2020-07-27,34477,1599,1978.0
2020-07-28,34609,1631,1978.0
2020-07-29,34802,1942,1980.0
2020-07-30,35022,1942,1980.0
2020-07-31,35232,2151,1981.0
2020-08-01,35412,2131,1981.0
2020-08-02,35550,2069,1981.0
2020-08-03,35616,2135,1981.0
2020-08-04,35746,2165,1981.0
2020-08-05,35927,2343,1984.0
2020-08-06,36108,2523,1985.0
2020-08-07,36269,2383,1986.0
2020-08-08,36451,2465,1986.0
2020-08-09,36603,2317,1986.0
