date,cases,active,death
2020-03-08,2
2020-03-09,4
2020-03-12,7
2020-03-13,23
2020-03-14,31
2020-03-15,41
2020-03-16,51
2020-03-17,62
2020-03-18,81
2020-03-19,92
2020-03-20,105
2020-03-21,127
2020-03-22,163
2020-03-23,185
2020-03-24,201
2020-03-25,220
2020-03-26,242
2020-03-27,264
2020-03-28,293
2020-03-29,331
2020-03-30,346
2020-03-31,359
2020-04-01,399
2020-04-02,422
2020-04-03,457
2020-04-04,485
2020-04-05,503
2020-04-06,531,0
2020-04-07,581,516
2020-04-08,611,539
2020-04-09,624,546
2020-04-10,648,560
2020-04-11,669,573
2020-04-12,676,574
2020-04-13,695,579
2020-04-14,735,594
2020-04-15,783,624,37.0
2020-04-16,825,644,40.0
2020-04-17,865,671,41.0
2020-04-18,884,681,42.0
2020-04-19,894,691,42.0
2020-04-20,929,719,43.0
2020-04-21,1015,794,47.0
2020-04-22,1081,841,50.0
2020-04-23,1097,855,52.0
2020-04-24,1234,983,54.0
2020-04-25,1290,1030,55.0
2020-04-26,1348,1087,56.0
2020-04-27,1387,1107,58.0
2020-04-28,1437,1133,61.0
2020-04-29,1488,1157,65.0
2020-04-30,1541,1199,66.0
2020-05-01,1555,1211,68.0
2020-05-02,1594,1235,72.0
2020-05-03,1618,1237,73.0
2020-05-04,1652,1253,78.0
2020-05-05,1704,1282,80.0
2020-05-06,1778,1334,84.0
2020-05-07,1829,1361,84.0
2020-05-08,1872,1385,86.0
2020-05-09,1955,1421,90.0
2020-05-10,1965,1430,91.0
2020-05-11,1990,1436,93.0
2020-05-12,2023,1452,95.0
2020-05-13,2069,1474,96.0
2020-05-14,2100,1470,99.0
2020-05-15,2174,1496,105.0
2020-05-16,2211,1505,108.0
2020-05-17,2235,1513,110.0
2020-05-18,2259,1501,112.0
2020-05-19,2292,1492,116.0
2020-05-20,2331,1484,120.0
2020-05-21,2372,1478,125.0
2020-05-22,2408,1474,126.0
2020-05-23,2427,1457,130.0
2020-05-24,2433,1441,130.0
2020-05-25,2443,1433,130.0
2020-05-26,2460,1415,133.0
2020-05-27,2477,1378,134.0
2020-05-28,2485,1333,136.0
2020-05-29,2499,1296,139.0
2020-05-30,2513,1299,140.0
2020-05-31,2519,1289,140.0
2020-06-01,2538,1271,144.0
2020-06-02,2560,1208,146.0
2020-06-03,2585,1116,147.0
2020-06-04,2627,1078,159.0
2020-06-05,2668,980,160.0
2020-06-06,2711,1006,160.0
2020-06-07,2727,1019,160.0
2020-06-08,2810,1059,164.0
2020-06-09,2889,1099,167.0
2020-06-10,2993,1162,167.0
2020-06-11,3086,1230,168.0
2020-06-12,3191,1303,172.0
2020-06-13,3266,1371,172.0
2020-06-14,3290,1386,174.0
2020-06-15,3341,1381,176.0
2020-06-16,3453,1455,181.0
2020-06-17,3542,1478,184.0
2020-06-18,3674,1543,190.0
2020-06-19,3755,1554,193.0
2020-06-20,3872,1646,199.0
2020-06-21,3905,1632,199.0
2020-06-22,3984,1606,207.0
2020-06-23,4114,1689,208.0
2020-06-24,4242,1770,209.0
2020-06-25,4408,1827,211.0
2020-06-26,4513,1841,215.0
2020-06-27,4625,1934,216.0
2020-06-28,4691,1964,219.0
2020-06-29,4831,2026,223.0
2020-06-30,4989,2083,230.0
2020-07-01,5154,2200,232.0
2020-07-02,5315,2281,232.0
2020-07-03,5497,2366,239.0
2020-07-04,5677,2538,241.0
2020-07-05,5740,2579,246.0
2020-07-06,5914,2664,250.0
2020-07-07,6102,2811,254.0
2020-07-08,6342,2917,259.0
2020-07-09,6672,3181,262.0
2020-07-10,6964,3389,267.0
2020-07-11,7175,3597,267.0
2020-07-12,7252,3665,268.0
2020-07-13,7411,3618,276.0
2020-07-14,7645,3699,283.0
2020-07-15,7877,3747,289.0
2020-07-16,8144,3924,293.0
2020-07-17,8442,4112,297.0
2020-07-18,8638,4258,299.0
2020-07-19,8733,4327,300.0
2020-07-20,8929,4416,308.0
2020-07-21,9254,4420,313.0
2020-07-22,9584,4620,321.0
2020-07-23,9853,4493,329.0
2020-07-24,10123,4534,337.0
2020-07-25,10312,4668,338.0
2020-07-26,10427,4732,340.0
2020-07-27,10621,4689,347.0
2020-07-28,10871,4750,355.0
2020-07-29,11155,4816,368.0
2020-07-30,11420,4873,374.0
2020-07-31,11690,4988,383.0
