date,cases,active,death
2020-02-15,7,0,1
2020-02-16,8,0,1.002
2020-02-17,8.01,0,1.003
2020-02-18,8.02,0,1.004
2020-02-19,8.03,0,1.005
2020-02-20,8.04,0,1.006
2020-02-21,8.05,0,1.007
2020-02-22,9,0,1.008
2020-02-23,9.01,0,1.009
2020-02-24,9.02,0,1.01
2020-02-25,9.03,0,1.011
2020-02-26,12,0,2
2020-02-27,28,0,2.001
2020-02-28,43,0,2.002
2020-02-29,78,0,2.003
2020-03-01,102,0,2.004
2020-03-02,150,0,3
2020-03-03,166,0,4
2020-03-04,224,0,4.001
2020-03-05,332,0,7
2020-03-06,514,0,9
2020-03-07,748,0,16
2020-03-08,953,0,19
2020-03-09,1113,0,30
2020-03-10,1406,0,33
2020-03-11,1797,0,48
2020-03-12,2267,0,61
2020-03-13,2887,0,79
2020-03-14,3547,0,91
2020-03-15,4276,0,127
2020-03-16,5231,0,148
2020-03-17,6095,0,175
2020-03-18,7203,0,264
2020-03-19,8671,0,372
2020-03-20,9946,0,450
2020-03-21,11402,0,562
2020-03-22,12632,0,674
2020-03-23,15659,0,860
2020-03-24,17590,0,1100
2020-03-25,19900,0,1331
2020-03-26,22992,0,1696
2020-03-27,25996,25269,1995
2020-03-28,29633,29561,2314
2020-03-29,31683,30366,2606
2020-03-30,35134,33599,3024
2020-03-31,41110,39161,3523
2020-04-01,44945,42022,4032
2020-04-02,46613,41290,5387
2020-04-03,60300,61650,6507
2020-04-04,65473,66955,7560
2020-04-05,69180,68578,8078
2020-04-06,71335,71849,8911
2020-04-07,78219,79404,10328
2020-04-08,81279,80827,10869
2020-04-09,84936,82333,12210
2020-04-10,89849,86740,13197
2020-04-11,93202,89431,13832
2020-04-12,95137,91012,14393
2020-04-13,98029,94094,14967
2020-04-14,102725,98769,15729
2020-04-15,105399,99741,17167
2020-04-16,111020,114295,17920
2020-04-17,112870,132516,18681
2020-04-18,115760,96487,19323
2020-04-19,116599,96598,19718
2020-04-20,118518,97709,20265
2020-04-21,121083,98073,20796
2020-04-22,122987,97880,21340
2020-04-23,124753,94239,21856
2020-04-24,126049,94090,22245
2020-04-25,127358,94280,22614
2020-04-26,127841,94341,22856
2020-04-27,128766,97036,23293
2020-04-28,130847,95365,23660
2020-04-29,131248,94105,24087
2020-04-30,131845,93326,24376
2020-05-01,131979,92540,24594
2020-05-02,132807,93074,24760
2020-05-03,133041,93014,24895
2020-05-04,133647,92890,25201
2020-05-05,134507,92284,25531
2020-05-06,137377,94410,25809
2020-05-07,137851,93777,25987
2020-05-08,138867,94067,26230
2020-05-09,139323,94310,26310
2020-05-10,139569,94373,26380
2020-05-11,139926,94056,26643
2020-05-12,140558,93449,26991
2020-05-13,141194,92313,27074
2020-05-14,141836,91840,27425
2020-05-15,142341,91529,27529
2020-05-16,142734,90674,27625
2020-05-17,142897,90248,28108
2020-05-18,143181,89960,28239
2020-05-19,143884,90224,28022
2020-05-20,144493,90089,28132
2020-05-21,144693,89753,28215
2020-05-22,145005,89721,28289
2020-05-23,145204,89590,28332
2020-05-24,145296,89600,28367
2020-05-25,145581,89311,28432
2020-05-26,145867,88313,28530
2020-05-27,146019,87733,28596
2020-05-28,148674,90385,28662
2020-05-29,149150,90318,28714
2020-05-30,150579,91586,28771
2020-05-31,150784,91725,28802
2020-06-01,151054,91947,28833
2020-06-02,151325,53573,28940
2020-06-03,151677,53201,29021.0
2020-06-04,152444,53403,29065.0
2020-06-05,153055,53440,29111.0
2020-06-06,153634,53686,29142.0
2020-06-07,153977,53980,29155.0
2020-06-08,154188,53917,29209.0
2020-06-09,154591,53789,29296.0
2020-06-10,155136,53985,29319.0
2020-06-11,155561,54066,29346.0
2020-06-12,156287,54341,29374.0
2020-06-13,156813,54607,29398.0
2020-06-14,157220,54954,29407.0
2020-06-15,157372,54892,29436.0
2020-06-16,157716,54834,29547.0
2020-06-17,158174,54932,29575.0
2020-06-18,158641,55151,29603.0
2020-06-19,159452,55718,29617.0
2020-06-20,160093,56148,29633.0
2020-06-21,160377,56365,29640.0
2020-06-22,160750,56475,29663.0
2020-06-23,161267,56676,29720.0
2020-06-24,161348,56490,29731.0
2020-06-25,162140,56245,29752.0
2020-06-26,162936,57807,29778.0
2020-06-27,163376,57509,29778.0
2020-06-28,163817,57509,29778.0
2020-06-29,164260,58798,29813.0
2020-06-30,164801,58684,29843.0
2020-07-01,165719,59319,29861.0
2020-07-02,166378,59701,29875.0
2020-07-03,166960,60007,29893.0
2020-07-04,167417,60007,29893.0
2020-07-05,167875,60007,29893.0
2020-07-06,168335,61107,29920.0
2020-07-07,168810,61222,29933.0
2020-07-08,169473,61523,29965.0
2020-07-09,170094,61945,29979.0
2020-07-10,170752,62360,30004.0
2020-07-11,171292,62360,30004.0
2020-07-12,171833,62360,30004.0
2020-07-13,172377,63751,30029.0
2020-07-14,172840,63751,30029.0
2020-07-15,173304,64364,30120.0
2020-07-16,173838,64664,30138.0
2020-07-17,174674,65289,30152.0
2020-07-18,175364,65289,30152.0
2020-07-19,176057,65289,30152.0
2020-07-20,176754,67344,30177.0
2020-07-21,177338,67439,30165.0
2020-07-22,178336,68207,30172.0
2020-07-23,179398,68744,30182.0
2020-07-24,180528,69521,30192.0
2020-07-25,181374,69521,30192.0
2020-07-26,182224,69521,30192.0
2020-07-27,183079,71788,30209.0
2020-07-28,183804,72270,30223.0
2020-07-29,185196,73647,30238.0
2020-07-30,186573,74819,30254.0
2020-07-31,187919,76154,30265.0
2020-08-01,189037,76154,30265.0
2020-08-02,190162,76154,30265.0
2020-08-03,191295,79501,30294.0
2020-08-04,192334,79872,30296.0
2020-08-05,194029,81558,30305.0
2020-08-06,195633,82861,30312.0
2020-08-07,197921,84761,30324.0
2020-08-08,199525,84761,30324.0
2020-08-09,201143,84761,30324.0
2020-08-10,202775,89599,30340.0
2020-08-11,204172,90982,30354.0
2020-08-12,206696,92853,30371.0
2020-08-13,209365,95505,30388.0
2020-08-14,212211,97957,30406.0
2020-08-15,215521,101264,30409.0
2020-08-16,218536,104278,30410.0
2020-08-17,219029,104535,30429.0
2020-08-18,221267,106751,30451.0
2020-08-19,225043,110510,30468.0
2020-08-20,229814,115269,30480.0
2020-08-21,234400,119068,30503.0
2020-08-22,238002,122540,30512.0
2020-08-23,242899,127413,30513.0
2020-08-24,244854,129127,30528.0
2020-08-25,248158,132090,30544.0
2020-08-26,253587,137519,30544.0
2020-08-27,259698,143138,30576.0
2020-08-28,267077,150304,30596.0
2020-08-29,272530,155751,30602.0
2020-08-30,277943,161160,30606.0
2020-08-31,281025,163921,30635.0
2020-09-01,286007,168634,30661.0
2020-09-02,293024,175375,30686.0
2020-09-03,300181,182269,30706.0
2020-09-04,309156,191226,30724.0
2020-09-05,317706,199535,30724.0
2020-09-06,324777,206606,30724.0
2020-09-07,328980,210418,30726.0
2020-09-08,335524,216534,30764.0
2020-09-09,344101,224783,30794.0
