date,cases,active,death
2020-03-03,1
2020-03-06,2
2020-03-12,5
2020-03-13,6
2020-03-14,7
2020-03-15,18
2020-03-16,28
2020-03-17,37
2020-03-18,44
2020-03-19,54
2020-03-20,63
2020-03-21,86
2020-03-22,96
2020-03-23,115
2020-03-24,134
2020-03-25,170
2020-03-26,225
2020-03-27,275
2020-03-28,345
2020-03-29,358
2020-03-30,479
2020-03-31,556
2020-04-01,617
2020-04-02,654
2020-04-03,708
2020-04-04,919,0
2020-04-05,1021,875
2020-04-06,1120,959
2020-04-07,1184,1001
2020-04-08,1275,1085
2020-04-09,1374,1168
2020-04-10,1448,1219
2020-04-11,1545,1288
2020-04-12,1661,1366
2020-04-13,1763,1434
2020-04-14,1888,1545
2020-04-15,2024,1668,127.0
2020-04-16,2283,1904,130.0
2020-04-17,2564,2148,135.0
2020-04-18,2685,2234,137.0
2020-04-19,2855,2387,141.0
2020-04-20,3046,2553,143.0
2020-04-21,3209,2671,145.0
2020-04-22,3446,2880,149.0
2020-04-23,3568,2957,155.0
2020-04-24,3758,3114,158.0
2020-04-25,3897,3201,159.0
2020-04-26,4065,3311,161.0
2020-04-27,4120,3263,162.0
2020-04-28,4252,3309,165.0
2020-04-29,4321,3225,168.0
2020-04-30,4423,3269,170.0
2020-05-01,4569,3315,171.0
2020-05-02,4729,3300,173.0
2020-05-03,4903,3291,174.0
2020-05-04,5053,3221,179.0
2020-05-05,5219,3200,181.0
2020-05-06,5408,3208,183.0
2020-05-07,5548,3186,183.0
2020-05-08,5711,3201,186.0
2020-05-09,5910,3263,186.0
2020-05-10,6063,3321,188.0
2020-05-11,6281,3282,188.0
2020-05-12,6418,3239,188.0
2020-05-13,6512,3193,188.0
2020-05-14,6607,3107,190.0
2020-05-15,6652,3062,190.0
2020-05-16,6741,3062,192.0
2020-05-17,6870,3018,192.0
2020-05-18,6952,3002,192.0
2020-05-19,7023,2929,193.0
2020-05-20,7133,2841,194.0
2020-05-21,7211,2735,196.0
2020-05-22,7332,2758,197.0
2020-05-23,7406,2570,198.0
2020-05-24,7433,2531,199.0
2020-05-25,7532,2558,200.0
2020-05-26,7577,2494,202.0
2020-05-27,7601,2421,202.0
2020-05-28,7643,2246,202.0
2020-05-29,7714,2241,202.0
2020-05-30,7780,2175,204.0
2020-05-31,7807,2143,205.0
2020-06-01,7833,1735,205.0
2020-06-02,7866,1250,206.0
2020-06-03,7922,850,206.0
2020-06-04,8003,600,208.0
2020-06-05,8071,595,208.0
2020-06-06,8151,628,208.0
2020-06-07,8224,652,208.0
2020-06-08,8302,686,208.0
2020-06-09,8437,734,210.0
2020-06-10,8508,732,211.0
2020-06-11,8537,743,211.0
2020-06-12,8610,780,212.0
2020-06-13,8692,784,212.0
2020-06-14,8793,816,212.0
2020-06-15,8885,845,212.0
2020-06-16,8931,782,212.0
2020-06-17,8997,791,213.0
2020-06-18,9074,820,213.0
2020-06-19,9613,1283,213.0
2020-06-20,9839,1403,213.0
2020-06-21,9977,1479,214.0
2020-06-22,10172,1592,214.0
2020-06-23,10344,1723,214.0
2020-06-24,10907,2223,216.0
2020-06-25,11338,2621,217.0
2020-06-26,11633,2759,218.0
2020-06-27,11877,2934,220.0
2020-06-28,12052,3091,221.0
2020-06-29,12290,3232,225.0
2020-06-30,12533,3385,228.0
2020-07-01,12636,3382,228.0
2020-07-02,12969,3650,229.0
2020-07-03,13288,3898,230.0
2020-07-04,13822,4261,232.0
2020-07-05,14329,4257,235.0
2020-07-06,14379,3969,237.0
2020-07-07,14607,3728,240.0
2020-07-08,14771,3213,242.0
2020-07-09,15079,3390,242.0
2020-07-10,15328,3258,243.0
2020-07-11,15542,3232,245.0
2020-07-12,15745,3212,250.0
2020-07-13,15936,2747,255.0
2020-07-14,16097,2398,257.0
2020-07-15,16262,2182,259.0
2020-07-16,16545,2317,263.0
2020-07-17,16726,2102,264.0
2020-07-18,17015,2126,269.0
2020-07-19,17236,2042,273.0
2020-07-20,17562,2154,276.0
2020-07-21,17742,2073,280.0
2020-07-22,17962,2041,285.0
2020-07-23,18264,2100,292.0
2020-07-24,18834,2435,299.0
2020-07-25,19645,3058,305.0
2020-07-26,20278,3527,313.0
2020-07-27,20887,4018,316.0
2020-07-28,21387,3994,327.0
2020-07-29,22213,4754,334.0
2020-07-30,23259,5602,346.0
2020-07-31,24322,6311,353.0
2020-08-01,25015,6688,367.0
2020-08-02,25537,6720,382.0
2020-08-03,26196,6827,401.0
2020-08-04,27217,7171,417.0
2020-08-05,28500,8071,435.0
2020-08-06,29644,8642,449.0
2020-08-07,30662,8653,461.0
2020-08-08,32007,9337,480.0
2020-08-09,33237,9392,498.0
2020-08-10,34063,9023,516.0
2020-08-11,35195,9277,533.0
2020-08-12,36694,10461,556.0
2020-08-13,37935,10664,584.0
2020-08-14,39241,10986,611.0
2020-08-15,41017,11819,632.0
2020-08-16,42489,12487,658.0
2020-08-17,43558,12936,681.0
2020-08-18,44803,13087,714.0
2020-08-19,46313,13994,743.0
2020-08-20,47638,14057,775.0
2020-08-21,49247,14231,817.0
2020-08-22,50812,14914,858.0
2020-08-23,52349,15118,888.0
2020-08-24,53252,14854,920.0
2020-08-25,54528,15280,955.0
2020-08-26,55864,14294,984.0
2020-08-27,57085,14173,1011.0
2020-08-28,58489,14388,1052.0
2020-08-29,60056,14360,1078.0
2020-08-30,61399,13933,1111.0
2020-08-31,62590,13854,1141.0
2020-09-01,63781,13675,1184.0
2020-09-02,65453,13880,1216.0
2020-09-03,66855,14379,1253.0
2020-09-04,68605,14830,1292.0
2020-09-05,70160,14902,1329.0
2020-09-06,72394,15759,1361.0
2020-09-07,73780,16290,1394.0
2020-09-08,75721,17055,1427.0
2020-09-09,77878,16702,1453.0
2020-09-10,79767,16426,1491.0
2020-09-11,82197,16479,1524.0
2020-09-12,84435,17015,1553.0
2020-09-13,86686,17580,1578.0
2020-09-14,88203,17619,1614.0
2020-09-15,90324,17629,1648.0
2020-09-16,92016,17362,1686.0
2020-09-17,94504,17860,1714.0
2020-09-18,97264,18819,1755.0
2020-09-19,99816,19013,1795.0
2020-09-20,101743,19181,1830.0
2020-09-21,103119,17106,1855.0
2020-09-22,105346,17574,1889.0
2020-09-23,107743,17581,1918.0
2020-09-24,110099,17957,1956.0
2020-09-25,112522,18592,1998.0
2020-09-26,115241,19050,2041.0
2020-09-27,117685,20025,2069.0
2020-09-28,119107,19526,2113.0
2020-09-29,121183,18778,2152.0
2020-09-30,123653,18744,2194.0
2020-10-01,126044,19679,2229.0
2020-10-02,128565,20258,2263.0
2020-10-03,131228,20248,2293.0
2020-10-04,133272,19906,2330.0
2020-10-05,134695,18990,2369.0
2020-10-06,137248,19484,2410.0
2020-10-07,140024,19443,2439.0
2020-10-08,142953,20192,2486.0
2020-10-09,146398,20846,2530.0
2020-10-10,149841,22415,2572.0
2020-10-11,152404,22392,2605.0
2020-10-12,153761,21627,2636.0
2020-10-13,156946,22799,2685.0
2020-10-14,160333,23648,2726.0
2020-10-15,163650,24842,2772.0
2020-10-16,167148,25341,2818.0
2020-10-17,170911,26652,2878.0
2020-10-18,173632,26732,2928.0
2020-10-19,175749,26352,2976.0
2020-10-20,179003,27138,3027.0
2020-10-21,182580,27867,3079.0
2020-10-22,186731,29118,3132.0
2020-10-23,190416,30036,3205.0
2020-10-24,194461,30834,3255.0
2020-10-25,197481,30985,3301.0
2020-10-26,199745,30450,3373.0
2020-10-27,203733,31582,3445.0
