date,cases,active,death
2020-02-25,1,0,0
2020-02-26,2,0,0
2020-02-27,7,0,0
2020-02-28,11,0,0
2020-02-29,13,0,0
2020-03-01,14,0,0
2020-03-02,19,0,0
2020-03-03,32,0,0
2020-03-04,62,0,0
2020-03-05,87,0,0
2020-03-06,146,0,0
2020-03-07,179,0,0
2020-03-08,225,0,0
2020-03-09,326,0,0
2020-03-10,424,0,0
2020-03-11,620,0,1
2020-03-12,771,0,1
2020-03-13,923,0,1
2020-03-14,994,0,2
2020-03-15,1063,0,3
2020-03-16,1146,0,7
2020-03-17,1265,0,8
2020-03-18,1410,0,10
2020-03-19,1553,0,11
2020-03-20,1733,0,16
2020-03-21,1867,0,20
2020-03-22,1984,0,21
2020-03-23,2166,0,27
2020-03-24,2396,0,40
2020-03-25,2710,0,62
2020-03-26,2996,0,77
2020-03-27,3362,2948,105
2020-03-28,3662,3326,105
2020-03-29,3943,3574,110
2020-03-30,4359,3866,146
2020-03-31,4834,4239,180
2020-04-01,5320,4605,239
2020-04-02,5874,5157,308
2020-04-03,6475,5568,358
2020-04-04,6832,5865,373
2020-04-05,7172,6224,401
2020-04-06,7561,6524,477
2020-04-07,8299,6897,591
2020-04-08,8954,7527,687
2020-04-09,9599,8143,793
2020-04-10,10053,8434,870
2020-04-11,10448,8883,887
2020-04-12,10912,9203,899
2020-04-13,11349,9648,919
2020-04-14,11829,10031,1033
2020-04-15,12433,10343,1203.0
2020-04-16,13056,10657,1333.0
2020-04-17,13744,11266,1400.0
2020-04-18,14276,11761,1511.0
2020-04-19,14664,12295,1540.0
2020-04-20,15125,12647,1580.0
2020-04-21,15831,13007,1765.0
2020-04-22,16553,13517,1937.0
2020-04-23,17311,14184,2021.0
2020-04-24,18057,14410,2152.0
2020-04-25,18570,14980,2192.0
2020-04-26,18870,15441,2194.0
2020-04-27,19446,15647,2274.0
2020-04-28,20207,16261,2355.0
2020-04-29,21037,16835,2462.0
2020-04-30,21715,17501,2586.0
2020-05-01,22247,17862,2653.0
2020-05-02,22545,18408,2669.0
2020-05-03,22807,18633,2679.0
2020-05-04,23308,15878,2769.0
2020-05-05,23970,16288,2854.0
2020-05-06,24721,16903,2941.0
2020-05-07,25542,16612,3040.0
2020-05-08,26255,17119,3175.0
2020-05-09,26764,17730,3220.0
2020-05-10,27042,18126,3225.0
2020-05-11,27528,18443,3256.0
2020-05-12,28328,18988,3313.0
2020-05-13,29049,19478,3460.0
2020-05-14,29735,20082,3529.0
2020-05-15,30446,20590,3646.0
2020-05-16,30804,21032,3674.0
2020-05-17,31063,21493,3679.0
2020-05-18,31520,21708,3698.0
2020-05-19,32209,22085,3743.0
2020-05-20,33034,22721,3831.0
2020-05-21,33648,23330,3871.0
2020-05-22,34177,23913,3925.0
2020-05-23,34582,24225,3992.0
2020-05-24,34792,24490,3998.0
2020-05-25,35297,24843,4029.0
2020-05-26,36054,25344,4125.0
2020-05-27,36870,25897,4220.0
2020-05-28,37641,26490,4266.0
2020-05-29,38417,27155,4350.0
2020-05-30,38849,27747,4395.0
2020-05-31,39114,28176,4395.0
2020-06-01,39758,28440,4403.0
2020-06-02,40647,0,4468.0
2020-06-03,41714,0,4542.0
2020-06-04,42759,0,4562.0
2020-06-05,43902,0,4639.0
2020-06-06,44728,0,4656.0
2020-06-07,45190,0,4659.0
2020-06-08,45733,0,4694.0
2020-06-09,46668,0,4717.0
2020-06-10,48155,0,4795.0
2020-06-11,49502,0,4814.0
2020-06-12,50893,0,4854.0
2020-06-13,52006,0,4874.0
2020-06-14,52425,0,4874.0
2020-06-15,53113,0,4891.0
2020-06-16,53323,0,4939.0
2020-06-17,54747,0,5041.0
2020-06-18,56043,0,5053.0
2020-06-19,56360,0,5053.0
2020-06-20,56510,0,5053.0
2020-06-21,56661,0,5053.0
2020-06-22,59318,0,5122.0
2020-06-23,61007,0,5161.0
2020-06-24,62397,0,5209.0
2020-06-25,63890,0,5230.0
2020-06-26,65137,0,5280.0
2020-06-27,65484,0,5280.0
2020-06-28,65484,0,5280.0
