date,cases,active,death
2020-01-30,1
2020-02-02,2
2020-02-04,3
2020-03-03,5
2020-03-04,6
2020-03-05,28
2020-03-06,29
2020-03-07,31
2020-03-08,34
2020-03-09,44
2020-03-10,50
2020-03-11,73
2020-03-12,75
2020-03-13,83
2020-03-14,90
2020-03-15,93
2020-03-16,125
2020-03-17,137
2020-03-18,165
2020-03-19,191
2020-03-20,231
2020-03-21,320
2020-03-22,439
2020-03-23,492
2020-03-24,562
2020-03-25,649
2020-03-26,724
2020-03-27,873
2020-03-28,979
2020-03-29,1071
2020-03-30,1251
2020-03-31,1397
2020-04-01,1965
2020-04-02,2301
2020-04-03,2902
2020-04-04,3374,0
2020-04-05,4314,3868
2020-04-06,4778,4260
2020-04-07,5360,4728
2020-04-08,5916,5232
2020-04-09,6771,5908
2020-04-10,7600,6577
2020-04-11,8446,7189
2020-04-12,9240,7813
2020-04-13,10453,8902
2020-04-14,11487,9735
2020-04-15,12456,10520,423.0
2020-04-16,13495,11270,448.0
2020-04-17,14425,11892,488.0
2020-04-18,16365,13378,521.0
2020-04-19,17615,14202,559.0
2020-04-20,18658,14793,592.0
2020-04-21,20111,15491,645.0
2020-04-22,21797,16740,681.0
2020-04-23,23502,17768,722.0
2020-04-24,24530,18252,780.0
2020-04-25,26496,19732,825.0
2020-04-26,27977,20570,884.0
2020-04-27,29451,21375,939.0
2020-04-28,31332,22577,1008.0
2020-04-29,33062,23546,1079.0
2020-04-30,35043,24821,1154.0
2020-05-01,37336,26106,1223.0
2020-05-02,39980,27838,1323.0
2020-05-03,42533,29367,1391.0
2020-05-04,46437,32024,1566.0
2020-05-05,49436,33558,1695.0
2020-05-06,53025,35909,1785.0
2020-05-07,56409,37729,1890.0
2020-05-08,59765,39882,1986.0
2020-05-09,62939,41472,2109.0
2020-05-10,67259,44078,2212.0
2020-05-11,70827,45984,2294.0
2020-05-12,74292,47457,2415.0
2020-05-13,78121,49170,2551.0
2020-05-14,82052,51434,2649.0
2020-05-15,85940,52929,2753.0
2020-05-16,90927,53831,2872.0
2020-05-17,96169,56316,3029.0
2020-05-18,100328,57939,3156.0
2020-05-19,106475,60864,3302.0
2020-05-20,112028,63172,3434.0
2020-05-21,118226,66089,3584.0
2020-05-22,125149,69597,3728.0
2020-05-23,131423,73170,3868.0
2020-05-24,138917,77172,4024.0
2020-05-25,145456,80578,4172.0
2020-05-26,151876,83104,4346.0
2020-05-27,158333,86050,4534.0
2020-05-28,165799,89982,4711.0
2020-05-29,173763,86156,4980.0
2020-05-30,182490,90320,5186.0
2020-05-31,190622,93359,5408.0
2020-06-01,198706,97344,5608.0
2020-06-02,207615,101483,5829.0
2020-06-03,216919,106724,6088.0
2020-06-04,227029,111204,6363.0
2020-06-05,236657,115935,6649.0
2020-06-06,247040,120801,6946.0
2020-06-07,258090,126788,7207.0
2020-06-08,267046,130358,7473.0
2020-06-09,275413,133529,7719.0
2020-06-10,287155,138069,8107.0
2020-06-11,298283,142587,8501.0
2020-06-12,309603,146383,8890.0
2020-06-13,321626,150048,9199.0
2020-06-14,333008,153799,9520.0
2020-06-15,343091,152856,9915.0
2020-06-16,354161,154688,11921.0
2020-06-17,367264,160564,12262.0
2020-06-18,381485,163697,12605.0
2020-06-19,396182,169003,12970.0
2020-06-20,412210,170618,13285.0
2020-06-21,426910,175955,13703.0
2020-06-22,440685,178480,14015.0
2020-06-23,456552,183384,14483.0
2020-06-24,473719,187089,14907.0
2020-06-25,491170,190191,15308.0
2020-06-26,509446,197840,15689.0
2020-06-27,529860,203544,16111.0
2020-06-28,549197,210936,16487.0
2020-06-29,567536,215361,16904.0
2020-06-30,585792,220403,17410.0
2020-07-01,605220,227476,17848.0
2020-07-02,627168,229041,18225.0
2020-07-03,649889,236901,18669.0
2020-07-04,673904,245542,19279.0
2020-07-05,699402,254625,19707.0
2020-07-06,721310,260897,20184.0
2020-07-07,744006,266295,20653.0
2020-07-08,769150,271434,21151.0
2020-07-09,795605,277925,21632.0
2020-07-10,822603,284253,22144.0
2020-07-11,851261,292021,22696.0
2020-07-12,879888,301800,23200.0
2020-07-13,907645,311806,23727.0
2020-07-14,937844,320339,24327.0
2020-07-15,970169,331505,24929.0
2020-07-16,1005760,343481,25619.0
2020-07-17,1040746,360325,26291.0
2020-07-18,1077864,373406,26828.0
2020-07-19,1118107,390205,27503.0
2020-07-20,1156189,403388,28099.0
2020-07-21,1194888,413067,28771.0
2020-07-22,1239684,425528,29890.0
2020-07-23,1290284,441889,30657.0
2020-07-24,1339067,457347,31425.0
2020-07-25,1389097,469675,32127.0
2020-07-26,1437976,486244,32826.0
2020-07-27,1484136,496671,33461.0
2020-07-28,1535335,511205,34252.0
2020-07-29,1588129,530487,35036.0
2020-07-30,1643416,547626,35807.0
2020-07-31,1697054,564856,36551.0
2020-08-01,1756220,570623,37436.0
2020-08-02,1808128,581277,38201.0
2020-08-03,1858689,588005,39002.0
2020-08-04,1910681,587908,39856.0
2020-08-05,1967700,597902,40772.0
2020-08-06,2030001,609686,41673.0
2020-08-07,2091416,619699,42617.0
2020-08-08,2156443,631289,43488.0
2020-08-09,2215074,634865,44466.0
2020-08-10,2269052,640202,45361.0
2020-08-11,2333166,646487,46216.0
2020-08-12,2399992,655012,47169.0
2020-08-13,2464316,663310,48177.0
2020-08-14,2530490,671618,49170.0
2020-08-15,2594112,681053,50122.0
2020-08-16,2651290,679946,51079.0
2020-08-17,2706450,675748,51955.0
2020-08-18,2768670,677059,53026.0
2020-08-19,2841337,689559,54017.0
2020-08-20,2910032,694971,55002.0
2020-08-21,2979562,700410,55950.0
2020-08-22,3049855,710998,56875.0
2020-08-23,3106348,710621,57692.0
2020-08-24,3170942,707325,58570.0
2020-08-25,3235725,707405,59632.0
2020-08-26,3314953,729783,60652.0
2020-08-27,3392295,745540,61725.0
2020-08-28,3468272,755901,62750.0
2020-08-29,3546705,768020,63690.0
2020-08-30,3624613,784773,64646.0
2020-08-31,3694878,789369,65469.0
2020-09-01,3769523,801155,66460.0
2020-09-02,3853406,815428,67486.0
2020-09-03,3936747,831027,68569.0
2020-09-04,4027718,850597,69668.0
2020-09-05,4114773,863070,70704.0
2020-09-06,4208645,886505,71711.0
2020-09-07,4284103,887200,72843.0
2020-09-08,4374314,901517,73953.0
2020-09-09,4465863,918989,75091.0
2020-09-10,4566726,947727,76336.0
2020-09-11,4663930,962018,77537.0
2020-09-12,4754356,973147,78614.0
2020-09-13,4846427,986566,79754.0
2020-09-14,4930236,990029,80808.0
2020-09-15,5020359,995908,82091.0
2020-09-16,5118253,1009944,83230.0
2020-09-17,5214677,1017722,84404.0
2020-09-18,5308014,1013958,85625.0
2020-09-19,5405252,1015413,86796.0
2020-09-20,5487580,1003272,87909.0
2020-09-21,5562663,975831,88965.0
2020-09-22,5650540,972850,90077.0
2020-09-23,5732518,966358,91173.0
2020-09-24,5818570,970089,92317.0
2020-09-25,5903932,960938,93410.0
2020-09-26,5992532,956371,94534.0
2020-09-27,6074702,962608,95574.0
