date,cases,active,death
2020-02-26,12,5,0
2020-02-27,15,8,0
2020-02-28,19,12,0
2020-02-29,22,15,0
2020-03-01,35,28,0
2020-03-02,38,31,0
2020-03-03,50,43,0
2020-03-04,85,79,0
2020-03-05,114,97,1
2020-03-06,162,144,1.01
2020-03-07,206,189,1.02
2020-03-08,274,257,2
2020-03-09,317,298,3
2020-03-10,378,359,7
2020-03-11,454,434,7.01
2020-03-12,583,562,9
2020-03-13,788,769,10
2020-03-14,1126,1101,28
2020-03-15,1374,1336,43
2020-03-16,1524,1436,65
2020-03-17,1927,1814,81
2020-03-18,2595,2457,115
2020-03-19,3230,3060,158
2020-03-20,3936,3741,194
2020-03-21,4958,4692,250
2020-03-22,5616,5309,285
2020-03-23,6571,6180,359
2020-03-24,7981,7520,508
2020-03-25,9416,8931,694
2020-03-26,11520,10945,877
2020-03-27,14371,13649,1161
2020-03-28,16887,15935,1455
2020-03-29,19291,18159,1669
2020-03-30,21880,20598,2043
2020-03-31,24853,23226,2425
2020-04-01,29126,26987,3095
2020-04-02,33320,30662,3747
2020-04-03,37718,34428,4461
2020-04-04,41409,37455,5221
2020-04-05,47242,42737,5865
2020-04-06,50999,46100,6433
2020-04-07,54591,48948,7471
2020-04-08,60017,53501,8505
2020-04-09,64310,56964,9608
2020-04-10,72888,64456,10760
2020-04-11,78060,68772,11599
2020-04-12,83285,73323,12285
2020-04-13,87576,76948,13029
2020-04-14,92766,81422,14073
2020-04-15,97315,85264,14915
2020-04-16,101878,89020,15944
2020-04-17,107411,93772,16879
2020-04-18,112871,98409,17994
2020-04-19,118652,103663,18492
2020-04-20,123273,107890,19051
2020-04-21,127523,111363,20223
2020-04-22,131921,115051,21060
2020-04-23,136450,118996,21787
2020-04-24,141773,123614,22792
2020-04-25,146628,127714,23635
2020-04-26,151039,131764,24055
2020-04-27,155297,135713,24393
2020-04-28,159246,139123,25302
2020-04-29,163274,138780,26097
2020-04-30,169235,144138,26771
2020-05-01,175362,149600,27510
2020-05-02,180112,153785,28131
2020-05-03,184400,157809,28446
2020-05-04,188338,161506,28734
2020-05-05,192692,165219,29427
2020-05-06,198731,170681,30076
2020-05-07,204279,175756,30615
2020-05-08,208873,179779,31241
2020-05-09,212723,183329,31587
2020-05-10,216600,186984,31855
2020-05-11,220431,190651,32065
2020-05-12,223794,193427,32692
2020-05-13,226998,196175,33186
2020-05-14,230403,0,33614
2020-05-15,233921,0,33998
2020-05-16,237331,0,34466
2020-05-17,240823,0,34636
2020-05-18,243502,0,34796
2020-05-19,245886,0,35341
2020-05-20,248293,0,35704

2020-05-21,250908,0,36042.0
2020-05-22,254195,0,36393.0
2020-05-23,257154,0,36675.0
2020-05-24,259559,0,36793.0
2020-05-25,261184,0,36914.0
2020-05-26,265227,0,37048.0
2020-05-27,267240,0,37460.0
2020-05-28,269127,0,37837.0
2020-05-29,271222,0,38161.0
2020-05-30,272826,0,38376.0
2020-05-31,274762,0,38489.0
2020-06-01,276332,0,39045.0
2020-06-02,277985,0,39369.0
2020-06-03,279856,0,39728.0
2020-06-04,281661,0,39904.0
2020-06-05,283311,0,40261.0
2020-06-06,284868,0,40465.0
2020-06-07,286194,0,40542.0
2020-06-08,287399,0,40597.0
2020-06-09,289140,0,40883.0
2020-06-10,290143,0,41128.0
2020-06-11,291409,0,41279.0
2020-06-12,292950,0,41481.0
2020-06-13,294375,0,41662.0
2020-06-14,295889,0,41698.0
2020-06-15,296857,0,41736.0
2020-06-16,298136,0,41969.0
2020-06-17,299251,0,42153.0
2020-06-18,300469,0,42288.0
2020-06-19,301815,0,42461.0
