date,cases,active,death
2020-03-01,1,1,0
2020-03-02,1.01,1,0
2020-03-03,1.02,1,0
2020-03-04,1.03,1,0
2020-03-05,1.04,1,0
2020-03-06,2,2,0
2020-03-07,2.01,2,0
2020-03-08,5,5,0
2020-03-09,5.01,5,0
2020-03-10,5.02,5,0
2020-03-11,5.03,5,0
2020-03-12,5.04,5,0
2020-03-13,5.05,5,0
2020-03-14,11,11,0
2020-03-15,11.01,11,0
2020-03-16,21,20,1
2020-03-17,21.01,20,1
2020-03-18,34,32,2
2020-03-19,34.01,32,2
2020-03-20,72,70,2
2020-03-21,112,109,3
2020-03-22,202,199,3
2020-03-23,245,239,3
2020-03-24,312,303,6
2020-03-25,392,379,10
2020-03-26,488,475,10
2020-03-27,581,558,20
2020-03-28,719,688,28
2020-03-29,859,817,39
2020-03-30,901,855,42
2020-03-31,1109,1053,51
2020-04-01,1284,1218,57
2020-04-02,1380,1304,60
2020-04-03,1488,1404,68
2020-04-04,1578,1484,77
2020-04-05,1745,1646,82
2020-04-06,1828,1709,86
2020-04-07,1956,1822,98
2020-04-08,2111,1953,108
2020-04-09,2349,2151,118
2020-04-10,2620,2396,126
2020-04-11,2759,2516,135
2020-04-12,2967,2663,173
2020-04-13,3167,2838,177
2020-04-14,3286,2941,183
2020-04-15,3614,3217,189
2020-04-16,3755,3344,196
2020-04-17,4126,3658,200
2020-04-18,4335,3806,217
2020-04-19,4680,4091,226
2020-04-20,4964,4313,235
2020-04-21,5044,4336,245
2020-04-22,5300,4459,260
2020-04-23,5543,4697,265
2020-04-24,5749,4719,267
2020-04-25,5926,4831,273
2020-04-26,6135,4947,278
2020-04-27,6293,5018,282
2020-04-28,6416,4965,286
2020-04-29,6652,5131,293
2020-04-30,6972,5370,301
2020-05-01,7288,5588,313
2020-05-02,7578,5771,326
2020-05-03,7954,6015,333
2020-05-04,8235,6118,346
2020-05-05,8480,6221,354
2020-05-06,8807,6485,362
2020-05-07,9095,6658,373
2020-05-08,9376,6710,380
2020-05-09,9882,6913,385
2020-05-10,10347,7196,388
2020-05-11,10634,7371,393
2020-05-12,10900,7277,402
2020-05-13,11196,7566,409
2020-05-14,11320,7547,422
2020-05-15,11739,7758,424
2020-05-16,12110,7956,428

2020-05-17,12314,6039,428.0
2020-05-18,12725,5678,434.0
2020-05-19,13223,6169,441.0
2020-05-20,13477,5889,446.0
2020-05-21,13657,5843,448.0
2020-05-22,13989,5961,456.0
2020-05-23,14422,6110,458.0
2020-05-24,14801,6210,458.0
2020-05-25,15073,6328,460.0
2020-05-26,15264,6262,468.0
2020-05-27,15723,6459,474.0
2020-05-28,16068,6631,485.0
2020-05-29,16531,6777,488.0
2020-05-30,16908,6853,498.0
2020-05-31,17285,6224,502.0
2020-06-01,17572,6177,502.0
2020-06-02,17752,6162,515.0
2020-06-03,18040,6300,516.0
2020-06-04,18319,6325,520.0
2020-06-05,18708,6447,525.0
2020-06-06,19195,6740,536.0
2020-06-07,19600,7055,538.0
2020-06-08,20126,7429,539.0
2020-06-09,20415,7663,544.0
2020-06-10,20808,7940,550.0
2020-06-11,21437,8335,561.0
2020-06-12,22008,8686,568.0
2020-06-13,22572,8911,577.0
2020-06-14,22962,9050,592.0
2020-06-15,23271,8641,605.0
2020-06-16,23686,8938,615.0
2020-06-17,24105,9256,633.0
2020-06-18,24645,9717,635.0
2020-06-19,25068,9816,647.0
2020-06-20,25778,10166,655.0
2020-06-21,26677,10877,662.0
2020-06-22,27370,11363,669.0
2020-06-23,27936,11710,675.0
2020-06-24,28631,11934,691.0
2020-06-25,29141,12220,698.0
2020-06-26,29764,12695,712.0
2020-06-27,30619,13235,718.0
2020-06-28,31373,13505,726.0
2020-06-29,31816,13803,733.0
2020-06-30,32568,14241,747.0
2020-07-01,33387,14729,754.0
2020-07-02,34197,15291,765.0
2020-07-03,35148,15981,775.0
2020-07-04,36184,16796,786.0
2020-07-05,37425,17688,794.0
2020-07-06,38128,17835,804.0
2020-07-07,38430,18045,821.0
2020-07-08,39588,18703,829.0
2020-07-09,40790,19522,842.0
2020-07-10,41915,20221,864.0
2020-07-11,43114,21238,880.0
2020-07-12,44532,22176,897.0
2020-07-13,45506,22162,903.0
2020-07-14,46305,22261,910.0
2020-07-15,47671,23283,929.0
2020-07-16,48743,24166,941.0
2020-07-17,50113,24748,942.0
2020-07-18,51519,25941,971.0
2020-07-19,52855,26780,981.0
2020-07-20,53956,27402,993.0
2020-07-21,54797,27822,999.0
2020-07-22,56043,28572,1005.0
2020-07-23,57615,29704,1006.0
2020-07-24,59077,30416,1036.0
2020-07-25,60896,31861,1055.0
2020-07-26,62908,33242,1063.0
2020-07-27,64156,32869,1083.0
2020-07-28,64690,31575,1101.0
2020-07-29,66182,31112,1123.0
