date,cases,active,death
2020-02-26,1
2020-02-27,2
2020-02-28,3
2020-02-29,5
2020-03-02,7
2020-03-03,8
2020-03-04,9
2020-03-06,10
2020-03-07,11
2020-03-08,12
2020-03-10,13
2020-03-11,16
2020-03-12,25
2020-03-13,31
2020-03-14,37
2020-03-15,48
2020-03-16,56
2020-03-17,69
2020-03-18,81
2020-03-19,104
2020-03-20,126
2020-03-21,206
2020-03-22,235
2020-03-23,306
2020-03-24,382
2020-03-25,418
2020-03-26,495
2020-03-27,586
2020-03-28,657
2020-03-29,713
2020-03-30,790
2020-03-31,867
2020-04-01,963
2020-04-02,1011
2020-04-03,1079
2020-04-04,1126,0
2020-04-05,1182,1042
2020-04-06,1222,1076
2020-04-07,1282,1097
2020-04-08,1343,1145
2020-04-09,1407,1168
2020-04-10,1495,1243
2020-04-11,1534,1190
2020-04-12,1600,1204
2020-04-13,1650,1225
2020-04-14,1704,1258
2020-04-15,1741,1235,33.0
2020-04-16,1791,1227,35.0
2020-04-17,1814,1178,36.0
2020-04-18,1832,1178,39.0
2020-04-19,1871,1115,47.0
2020-04-20,1881,1063,47.0
2020-04-21,1908,1059,48.0
2020-04-22,1950,1033,48.0
2020-04-23,1981,1048,50.0
2020-04-24,2009,976,51.0
2020-04-25,2016,928,54.0
2020-04-26,2030,872,55.0
2020-04-27,2039,814,59.0
2020-04-28,2047,752,63.0
2020-04-29,2062,707,67.0
2020-04-30,2076,659,69.0
2020-05-01,2085,589,75.0
2020-05-02,2088,548,77.0
2020-05-03,2096,528,79.0
2020-05-04,2101,499,80.0
2020-05-05,2112,469,83.0
2020-05-06,2119,433,85.0
2020-05-07,2125,398,86.0
2020-05-08,2161,386,86.0
2020-05-09,2176,363,87.0
2020-05-10,2187,333,90.0
2020-05-11,2196,321,91.0
2020-05-12,2207,308,91.0
2020-05-13,2213,285,94.0
2020-05-14,2221,277,94.0
2020-05-15,2222,258,95.0
2020-05-16,2224,216,95.0
2020-05-17,2226,195,95.0
2020-05-18,2228,187,95.0
2020-05-19,2232,169,96.0
2020-05-20,2234,160,96.0
2020-05-21,2237,162,97.0
2020-05-22,2243,133,99.0
2020-05-23,2244,118,99.0
2020-05-24,2244.1,118,99.0
2020-05-25,2244.2,109,100.0
2020-05-26,2244.3,97,101.0
2020-05-27,2244.4,96,101.0
