date,cases,active,death
2020-03-15,4,0,0
2020-03-16,8,0,0
2020-03-17,11,0,0
2020-03-18,18,0,0
2020-03-19,23,0,0
2020-03-20,33,0,0
2020-03-21,41,0,0
2020-03-22,43,0,0
2020-03-23,46,0,0
2020-03-24,50,0,0
2020-03-25,60,0,0
2020-03-26,75,0,0
2020-03-27,88,0,0
2020-03-28,104,0,0
2020-03-29,144,0,0
2020-03-30,149,0,0
2020-03-31,172,0,0
2020-04-01,181,0,0
2020-04-02,205,0,0
2020-04-03,227,0,0
2020-04-04,266,0,0
2020-04-05,342,0,0
2020-04-06,457,0,0
2020-04-07,520,0,0
2020-04-08,545,0,0
2020-04-09,582,0,0
2020-04-10,624,0,0
2020-04-11,767,0,0
2020-04-12,865,0,0
2020-04-13,998,0,0
2020-04-14,1165,0,0
2020-04-15,1302,0,0
2020-04-16,1349,0,0
2020-04-17,1405,0,0
2020-04-18,1490,0,0
2020-04-19,1565,0,0
2020-04-20,1627,0,0
2020-04-21,1678,0,0
2020-04-22,1716,0,0
2020-04-23,1758,0,0
2020-04-24,1804,0,0
2020-04-25,1862,0,0
2020-04-26,1869,0,0
2020-04-27,1904,0,0
2020-04-28,1939,0,0
2020-04-29,2002,0,0
2020-04-30,2039,0,0
2020-05-01,2086,0,0
2020-05-02,2118,0,0
2020-05-03,2149,0,0
2020-05-04,2189,0,0
2020-05-05,2207,0,0
2020-05-06,2233,0,0
2020-05-07,2298,0,0
2020-05-08,2325,0,0
2020-05-09,2349,0,0
2020-05-10,2418,0,0
2020-05-11,2486,0,0
2020-05-12,2519,0,0
2020-05-13,2612,0,0
2020-05-14,2645,0,0
2020-05-15,2686,0,0
2020-05-16,2738,0,0
2020-05-17,2753,0,0
2020-05-18,2791,0,0
2020-05-19,2855,0,0
2020-05-20,2939,0,0
2020-05-21,2964,0,0
2020-05-22,3028,0,0
2020-05-23,3115,0,0
2020-05-24,3164,0,0
2020-05-25,3189,0,0
2020-05-26,3290,0,0
2020-05-27,3369,0,0
2020-05-28,3444,0,0
2020-05-29,3468,0,0
2020-05-30,3546,0,0
2020-05-31,3623,0,0
2020-06-01,3702,0,0
2020-06-02,3760,0,0
2020-06-03,3843,0,0
2020-06-04,3939,0,0
2020-06-05,4007,0,0
2020-06-06,4094,0,0
2020-06-07,4331,0,0
2020-06-08,4440,0,0
2020-06-09,4520,0,0
2020-06-10,4623,0,0
2020-06-11,4741,0,0
2020-06-12,4869,0,0
2020-06-13,4966,0,0
2020-06-14,5080,0,0
2020-06-15,5263,0,0
2020-06-16,5493,0,0
2020-06-17,5682,0,0
2020-06-18,5767,0,0
2020-06-19,5946,0,0
2020-06-20,6153,0,0
2020-06-21,6315,0,0
2020-06-22,6461,0,0
2020-06-23,6662,0,0
2020-06-24,6901,0,0
2020-06-25,7177,0,0
2020-06-26,7427,0,0
2020-06-27,7682,0,0
2020-06-28,7948,0,0
2020-06-29,8222,0,0
2020-06-30,8503,0,0
2020-07-01,8781,0,0
2020-07-02,9078,0,0
2020-07-03,9396,0,0
2020-07-04,9708,0,0
2020-07-05,10020,0,0
2020-07-06,10362,0,0
2020-07-07,10670,0,0
2020-07-08,11092,0,0
2020-07-09,11564,0,0
2020-07-10,12027,0,0
2020-07-11,12513,0,0
2020-07-12,12997,0,0
2020-07-13,13591,0,0
2020-07-14,14085,0,0
2020-07-15,14581,0,0
2020-07-16,15066,0,0
2020-07-17,15607,0,0
2020-07-18,16186,0,0
2020-07-19,16607,0,0
2020-07-20,17590,8035,92.0
2020-07-21,18171,8554,96.0
2020-07-22,18531,8560,99.0
2020-07-23,18986,8734,103.0
2020-07-24,19653,9074,107.0
2020-07-25,20226,9283,112.0
2020-07-26,20531,9310,116.0
2020-07-27,21506,9710,122.0
2020-07-28,22169,9777,127.0
2020-07-29,22872,9803,132.0
2020-07-30,23558,9741,137.0
2020-07-31,24009,9404,141.0
2020-08-01,25040,9592,149.0
2020-08-02,25828,9166,155.0
2020-08-03,26550,9127,161.0
2020-08-04,27314,9096,167.0
2020-08-05,28069,9113,173.0
2020-08-06,28809,9043,179.0
2020-08-07,29459,8894,185.0
2020-08-08,30197,8691,190.0
2020-08-09,30820,8582,196.0
2020-08-10,31545,8351,202.0
2020-08-11,32215,7917,208.0
2020-08-12,32837,6965,213.0
2020-08-13,33561,6130,218.0
2020-08-14,34017,5135,221.0
2020-08-15,34701,4432,226.0
2020-08-16,35513,4306,234.0
2020-08-17,36100,4280,240.0
2020-08-18,36518,4052,243.0
2020-08-19,37366,4172,250.0
2020-08-20,37825,4127,256.0
2020-08-21,38231,3980,262.0
2020-08-22,38698,3853,269.0
2020-08-23,39065,3803,275.0
2020-08-24,39506,3673,282.0
2020-08-25,39790,3518,289.0
2020-08-26,40195,3338,295.0
2020-08-27,40613,3113,300.0
2020-08-28,40953,2701,305.0
2020-08-29,41303,2633,311.0
2020-08-30,41651,2515,317.0
2020-08-31,41994,2397,322.0
2020-09-01,42370,2380,326.0
2020-09-02,42540,2328,329.0
2020-09-03,42903,2391,336.0
2020-09-04,42998,2268,338.0
2020-09-05,43476,2251,345.0
2020-09-06,43775,2148,350.0
2020-09-07,44107,2157,356.0
2020-09-08,44557,2297,362.0
2020-09-09,45160,2580,368.0
2020-09-10,45927,2997,375.0
2020-09-11,46498,3093,382.0
2020-09-12,46850,2953,386.0
2020-09-13,47620,3224,394.0
2020-09-14,48192,3266,400.0
2020-09-15,48776,3313,405.0
2020-09-16,49385,3500,411.0
2020-09-17,49761,3254,415.0
2020-09-18,50253,3307,419.0
2020-09-19,51235,3535,429.0
2020-09-20,51789,3422,435.0
2020-09-21,52491,3445,440.0
2020-09-22,53051,3384,443.0
2020-09-23,53667,3390,445.0
2020-09-24,53966,3078,447.0
2020-09-25,54462,3058,450.0
2020-09-26,54953,3041,454.0
2020-09-27,55593,3168,460.0
2020-09-28,56068,3140,462.0
2020-09-29,56519,3081,468.0
2020-09-30,56997,3069,471.0
2020-10-01,57454,3027,472.0
2020-10-02,57776,2845,475.0
2020-10-03,58421,3088,479.0
2020-10-04,58859,3058,483.0
2020-10-05,59197,2959,487.0
2020-10-06,59579,2923,491.0
2020-10-07,59905,2843,494.0
2020-10-08,60233,2760,497.0
2020-10-09,60342,2623,498.0
2020-10-10,60894,2687,503.0
2020-10-11,61205,2629,507.0
2020-10-12,61534,2597,510.0
2020-10-13,61859,2584,512.0
2020-10-14,62175,2564,516.0
2020-10-15,62484,2536,519.0
2020-10-16,62684,2408,520.0
2020-10-17,63124,2519,525.0
