date,cases,active,death
2020-02-24,5,5,0
2020-02-25,11,11,0
2020-02-26,26,26,0
2020-02-27,43,43,0
2020-02-28,45,45,0
2020-02-29,45.1,45,0
2020-03-01,46,46,0
2020-03-02,56,56,0
2020-03-03,56.1,56,0
2020-03-04,56.2,56,0
2020-03-05,58,58,0
2020-03-06,58.1,57,0
2020-03-07,61,60,0
2020-03-08,64,63,0
2020-03-09,65,64,0
2020-03-10,69,68,0
2020-03-11,72,69,0
2020-03-12,80,75,0
2020-03-13,100,95,0
2020-03-14,104,97,0
2020-03-15,112,103,0
2020-03-16,123,114,0
2020-03-17,130,118,0
2020-03-18,142,127,0
2020-03-19,148,130,0
2020-03-20,159,137,0
2020-03-21,176,149,0
2020-03-22,188,158,0
2020-03-23,189,159,0
2020-03-24,191,152,0
2020-03-25,195,152,0
2020-03-26,208,159,0
2020-03-27,225,168,0
2020-03-28,235,171,0
2020-03-29,255,188,0
2020-03-30,266,194,0
2020-03-31,289,216,0
2020-04-01,317,237,0
2020-04-02,342,261,0
2020-04-03,417,335,0
2020-04-04,479,385,1
2020-04-05,556,456,1.01
2020-04-06,665,561,1.02
2020-04-07,743,637,1.03
2020-04-08,855,743,1.04
2020-04-09,910,798,1.05
2020-04-10,993,869,1.06
2020-04-11,1154,1020,1.07
2020-04-12,1234,1091,1.08
2020-04-13,1300,1148,2
2020-04-14,1355,1176,3
2020-04-15,1405,1196,3.01
2020-04-16,1524,1296,3.2
2020-04-17,1658,1395,5
2020-04-18,1751,1465,6
2020-04-19,1915,1603,7
2020-04-20,1995,1619,9
2020-04-21,2080,1657,11
2020-04-22,2248,1792,13
2020-04-23,2399,1887,14
2020-04-24,2614,1986,15
2020-04-25,2892,2217,19
2020-04-26,3075,2249,20
2020-04-27,3288,2254,22
2020-04-28,3440,2241,23
2020-04-29,3740,2327,24
2020-04-30,4024,2459,26
2020-05-01,4377,2745,30
2020-05-02,4619,2883,33
2020-05-03,4983,3169,38
2020-05-04,5278,3291,40
2020-05-05,5804,3732,40.01
2020-05-06,6289,4028,42
2020-05-07,6567,4142,44
2020-05-08,7208,4695,47
2020-05-09,7623,4952,49
2020-05-10,8688,5901,58
2020-05-11,9286,6314,65
2020-05-12,10277,7101,75
2020-05-13,11028,7683,82
2020-05-14,11975,8436,88
2020-05-15,12860,9124,96
2020-05-16,13802,9852,107
2020-05-17,14850,10645,112.0
2020-05-18,15691,11234,118.0
2020-05-19,16764,11962,121.0
2020-05-20,17568,12559,124.0
2020-05-21,18609,13275,129.0
2020-05-22,19564,13911,138.0
2020-05-23,20464,14569,148.0
2020-05-24,21302,15029,156.0
2020-05-25,21967,15181,165.0
2020-05-26,22575,15097,172.0
2020-05-27,23267,15146,175.0
2020-05-28,24112,15229,185.0
2020-05-29,25184,15717,194.0
2020-05-30,26192,15831,205.0
2020-05-31,27043,15445,212.0
2020-06-01,27762,14643,220.0
2020-06-02,28649,14142,226.0
2020-06-03,29359,13379,230.0
2020-06-04,29921,12462,236.0
2020-06-05,30644,12123,244.0
2020-06-06,31131,11595,254.0
2020-06-07,31848,11379,264.0
2020-06-08,32510,10999,269.0
2020-06-09,33140,10705,273.0
2020-06-10,33823,10260,275.0
2020-06-11,34432,10016,279.0
2020-06-12,34952,9619,285.0
2020-06-13,35466,9295,289.0
2020-06-14,35920,8865,296.0
2020-06-15,36431,8602,298.0
2020-06-16,36958,8449,303.0
2020-06-17,37533,8331,306.0
2020-06-18,38074,8254,308.0
2020-06-19,38678,8175,313.0
2020-06-20,39145,8100,319.0
2020-06-21,39650,8084,326.0
2020-06-22,40291,8191,330.0
2020-06-23,41033,8395,334.0
2020-06-24,41879,8733,337.0
2020-06-25,42788,9082,339.0
2020-06-26,43703,9393,341.0
2020-06-27,44391,9461,344.0
2020-06-28,44942,9100,348.0
2020-06-29,45524,8861,350.0
2020-06-30,46195,8811,354.0
2020-07-01,46940,8867,358.0
2020-07-02,47859,9110,359.0
2020-07-03,48672,9036,360.0
2020-07-04,49303,8995,365.0
2020-07-05,49941,9110,368.0
2020-07-06,50644,9270,373.0
2020-07-07,51245,9353,377.0
2020-07-08,52007,9520,379.0
2020-07-09,52840,9772,382.0
2020-07-10,53580,9983,383.0
2020-07-11,54058,9711,386.0
2020-07-12,54894,9894,390.0
2020-07-13,55508,9759,393.0
2020-07-14,56174,9617,396.0
2020-07-15,56877,9581,399.0
2020-07-16,57668,9721,402.0
2020-07-17,58221,9436,404.0
2020-07-18,58904,9477,407.0
2020-07-19,59204,9109,408.0
2020-07-20,59763,9016,408.0
2020-07-21,60434,9103,412.0
2020-07-22,61185,9248,417.0
2020-07-23,61872,9204,421.0
2020-07-24,62625,9285,425.0
2020-07-25,63309,9273,429.0
2020-07-26,63773,8967,433.0
2020-07-27,64379,8884,438.0
2020-07-28,65149,9026,442.0
2020-07-29,65903,8992,444.0
2020-07-30,66529,8754,445.0
2020-07-31,66957,8578,447.0
2020-08-01,67448,8470,453.0
2020-08-02,67911,8241,457.0
2020-08-03,68299,8099,461.0
2020-08-04,68774,7983,465.0
2020-08-05,69425,8051,468.0
2020-08-06,70045,7966,469.0
2020-08-07,70727,7926,471.0
2020-08-08,71199,7919,474.0
2020-08-09,71713,7716,478.0
2020-08-10,72400,7890,482.0
2020-08-11,73068,7823,486.0
2020-08-12,73785,7845,489.0
2020-08-13,74486,7898,489.0
2020-08-14,75185,7951,494.0
2020-08-15,75697,7680,498.0
2020-08-16,76205,7569,501.0
2020-08-17,76827,7692,502.0
2020-08-18,77470,7722,505.0
2020-08-19,78145,7867,507.0
2020-08-20,78767,7616,509.0
2020-08-21,79269,7494,511.0
2020-08-22,79957,7674,513.0
2020-08-23,80528,7706,515.0
2020-08-24,80960,7517,518.0
2020-08-25,81573,7652,519.0
2020-08-26,82271,7844,521.0
2020-08-27,82945,7901,522.0
2020-08-28,83578,7733,525.0
2020-08-29,84224,7703,528.0
2020-08-30,84636,7456,530.0
2020-08-31,85109,7354,531.0
2020-09-01,85811,7620,534.0
2020-09-02,87378,8051,536.0
2020-09-03,87809,8051,536.0
2020-09-04,88243,8289,537.0
2020-09-05,88963,8520,540.0
2020-09-06,89582,8517,544.0
