date,cases,active,death
2020-02-29,0.98,0,0
2020-03-01,8.85,0,0
2020-03-02,8.86,0,0
2020-03-03,10.81,0,0
2020-03-04,14.75,0,0
2020-03-05,19.66,0,0
2020-03-06,19.67,0,0
2020-03-07,20.65,0,0
2020-03-08,20.66,0,0
2020-03-09,22.62,0,0
2020-03-10,24.58,0,0
2020-03-11,25.57,0,0
2020-03-12,25.58,0,0
2020-03-13,34.42,0,0
2020-03-14,41.30,0,0
2020-03-15,54.09,0,0
2020-03-16,84.58,0,0
2020-03-17,163.25,0,0
2020-03-18,246.85,0,0
2020-03-19,293.08,0,0
2020-03-20,626.48,0,0
2020-03-21,782.85,0,0
2020-03-22,1160.51,0,0
2020-03-23,1442.78,0,0
2020-03-24,1591.28,0,0
2020-03-25,1781.10,0,0
2020-03-26,2063.36,0,0
2020-03-27,2392.83,0,0
2020-03-28,2697.71,0,0
2020-03-29,2779.34,0,0
2020-03-30,2890.47,0,0
2020-03-31,3385.17,0,0
2020-04-01,4055.91,0,0
2020-04-02,4650.92,0,0
2020-04-03,4952.85,0,0
2020-04-04,5095.46,0,0
2020-04-05,5361.00,3366,0
2020-04-06,5510.49,3456,0
2020-04-07,5874.38,3635,0
2020-04-08,6544.14,4068,0
2020-04-09,7301.43,4354,0
2020-04-10,10530.23,6496,0
2020-04-11,10670.87,6531,0
2020-04-12,10979.68,6632,0
2020-04-13,11072.13,6577,0
2020-04-14,11180.32,6538,0
2020-04-15,11555.03,6690,388
2020-04-16,12094.96,6984,403
2020-04-17,12426.40,7191,421
2020-04-18,13267.28,7558,456
2020-04-19,13923.27,7933,474
2020-04-20,14892.99,8471,507
2020-04-21,15290.32,8671,520
2020-04-22,15955.16,9051,537
2020-04-23,16444.94,9295,560
2020-04-24,16704.58,20777,576
2020-04-25,16704.68,20777.1,576.1
2020-04-26,16704.78,20777.2,576.2
2020-04-27,17087.16,21020,663
2020-04-28,17836.58,21830,871
2020-04-29,18142.45,22235,883
2020-04-30,18333.24,22476,900
2020-05-01,19363.94,23360,1063
2020-05-02,20193.02,23961,1371
2020-05-03,21718.42,24674,1564
2020-05-04,21907.25,26879,1569
2020-05-05,23441.49,26879,1569
2020-05-06,26723.40,24369,1618
2020-05-07,27520.03,25211,1654
2020-05-08,28342.23,23681,1704
2020-05-09,28591.05,23921,1717
2020-05-10,29071.00,23999,2127
2020-05-11,29509,23931,2145
2020-05-12,30419,24659,2327.0
2020-05-13,30486,24719,2334.0
2020-05-14,30502,24731,2338.0
2020-05-15,31467,25440,2594.0
2020-05-16,32763,26642,2688.0
2020-05-17,33182,27013,2736.0
2020-05-18,33582,27350,2799.0
2020-05-19,34151,27855,2839.0
2020-05-20,34854,28409,2888.0
2020-05-21,35306,28810,2939.0
2020-05-22,35828,29215,3056.0
2020-05-23,36258,29605,3096.0
2020-05-24,36756,30088,3108.0
2020-05-25,37355,16149,3203.0
2020-05-26,37729,16149,3203.0
2020-05-27,38103,16403,3275.0
2020-05-28,38471,16733,3313.0
2020-05-29,38571,16047,3334.0
2020-05-30,38571.5,16047,3334.0
2020-05-31,39098,16148,3358.0
2020-06-01,39098.5,16148,3358.0
2020-06-02,40414,16957,3438.0
2020-06-03,40966,17461,3486.0
2020-06-04,40966.5,17461,3486.0
2020-06-05,41575,17473,3534.0
2020-06-06,42728,18100,3608.0
2020-06-07,43120,18479,3621.0
2020-06-08,43378,18716,3642.0
2020-06-09,43917,19207,3690.0
2020-06-10,44440,18858,3720.0
2020-06-11,44440.5,18858.5,3720.0
2020-06-12,45778,19271,3828.0
2020-06-13,46356,19617,3874.0
2020-06-14,46751,19791,3896.0
2020-06-15,47322,20044,3929.0
2020-06-16,47943,20289,3970.0
2020-06-17,48490,20602,4007.0
2020-06-18,49097,20887,4087.0
2020-06-19,49731,21129,4156.0
2020-06-20,49731.5,21129,4156.0
2020-06-21,50640,21426,4223.0
2020-06-22,50640.5,21426,4223.0
2020-06-23,51643,22378,4274.0
2020-06-24,52394,22378,4274.0
2020-06-25,53156,22716,4343.0
2020-06-26,53856,22957,4406.0
2020-06-27,54574,23230,4424.0
2020-06-28,55255,23768,4429.0
2020-06-29,55665,23733,4502.0
2020-06-30,56432,24311,4527.0
2020-07-01,58257,25794,4576.0
2020-07-02,59468,26797,4639.0
2020-07-03,60657,27566,4700.0
2020-07-04,61535,28259,4769.0
2020-07-05,61958,28455,4781.0
2020-07-06,62380,28687,4821.0
2020-07-07,63245,29301,4873.0
2020-07-08,63731,29301,4873.0
2020-07-09,64221,30137,4900.0
2020-07-10,65018,30502,4939.0
2020-07-11,67209,32071,5031.0
2020-07-12,67870,32540,5047.0
2020-07-13,68459,33027,5063.0
2020-07-14,69570,33956,5130.0
2020-07-15,70329,34530,5158.0
2020-07-16,71365,34898,5207.0
2020-07-17,72444,35790,5250.0
2020-07-18,73382,36343,5282.0
2020-07-19,74013,36799,5313.0
2020-07-20,74620,37347,5318.0
2020-07-21,76217,38126,5366.0
