date,cases,active,death
2020-02-25,1
2020-02-26,5
2020-02-28,6
2020-02-29,7
2020-03-01,13
2020-03-02,19
2020-03-03,21
2020-03-04,26
2020-03-05,31
2020-03-06,38
2020-03-08,54
2020-03-09,61
2020-03-12,70
2020-03-13,74
2020-03-14,85
2020-03-16,124
2020-03-18,154
2020-03-19,164
2020-03-20,177
2020-03-21,193
2020-03-22,214
2020-03-23,233
2020-03-24,266
2020-03-25,316
2020-03-26,346
2020-03-27,382
2020-03-28,458
2020-03-29,506
2020-03-30,547
2020-03-31,630
2020-04-01,694
2020-04-03,772
2020-04-04,878,0
2020-04-05,961,621
2020-04-06,1031,623
2020-04-07,1122,684
2020-04-08,1202,681
2020-04-09,1232,667
2020-04-10,1279,659
2020-04-11,1318,645
2020-04-12,1352,636
2020-04-13,1378,583
2020-04-14,1400,556
2020-04-15,1415,524,79.0
2020-04-16,1434,498,80.0
2020-04-17,1482,495,81.0
2020-04-18,1513,478,82.0
2020-04-19,1539,448,82.0
2020-04-20,1574,449,82.0
2020-04-21,1602,423,83.0
2020-04-22,1631,402,83.0
2020-04-23,1677,423,83.0
2020-04-24,1708,418,86.0
2020-04-25,1763,453,86.0
2020-04-26,1820,470,87.0
2020-04-27,1847,473,88.0
2020-04-28,1928,519,90.0
2020-04-29,2003,565,92.0
2020-04-30,2085,617,93.0
2020-05-01,2153,645,94.0
2020-05-02,2219,651,95.0
2020-05-03,2296,709,97.0
2020-05-04,2346,704,98.0
2020-05-05,2431,758,102.0
2020-05-06,2480,776,102.0
2020-05-07,2543,815,102.0
2020-05-08,2603,838,104.0
2020-05-09,2679,870,107.0
2020-05-10,2767,924,109.0
2020-05-11,2818,918,110.0
2020-05-12,2913,898,112.0
2020-05-13,3032,951,115.0
2020-05-14,3143,1000,115.0
2020-05-15,3193,987,117.0
2020-05-16,3260,1013,121.0
2020-05-17,3404,1063,123.0
2020-05-18,3554,1117,127.0
2020-05-19,3611,1114,131.0
2020-05-20,3724,1152,134.0
2020-05-21,3877,1254,140.0
2020-05-22,3964,1285,147.0
2020-05-23,4272,1535,152.0
2020-05-24,4469,1571,160.0
2020-05-25,4632,1658,163.0
2020-05-26,4848,1827,169.0
2020-05-27,5135,2056,175.0
2020-05-28,5457,2307,179.0
2020-05-29,5873,2644,185.0
2020-05-30,6179,2874,195.0
2020-05-31,6439,3078,205.0
2020-06-01,6868,3378,215.0
2020-06-02,7387,3644,235.0
2020-06-03,8168,3817,256.0
2020-06-04,8840,4231,271.0
2020-06-05,9846,4988,285.0
2020-06-06,11098,5876,318.0
2020-06-07,12366,6834,346.0
2020-06-08,13481,7539,370.0
2020-06-09,14268,8045,392.0
2020-06-10,15414,8774,426.0
2020-06-11,16675,9650,457.0
2020-06-12,17770,10406,496.0
2020-06-13,18950,10886,549.0
2020-06-14,20209,11481,607.0
2020-06-15,21315,11392,652.0
2020-06-16,22700,12126,712.0
2020-06-17,24254,12711,773.0
2020-06-18,25717,13528,856.0
2020-06-19,27352,14222,925.0
2020-06-20,29222,14998,1013.0
2020-06-21,30868,15833,1100.0
2020-06-22,32676,16724,1167.0
2020-06-23,34502,17498,1251.0
2020-06-24,36702,18558,1330.0
2020-06-25,39139,19651,1437.0
2020-06-26,41193,20775,1559.0
2020-06-27,43262,21664,1660.0
2020-06-28,45402,22524,1756.0
2020-06-29,47151,22338,1839.0
2020-06-30,49109,22406,1943.0
2020-07-01,51524,23207,2050.0
2020-07-02,53708,23636,2160.0
2020-07-03,56020,24158,2262.0
2020-07-04,58354,24909,2368.0
2020-07-05,60479,24989,2473.0
2020-07-06,62275,24967,2567.0
2020-07-07,64701,25764,2685.0
2020-07-08,67442,26784,2779.0
2020-07-09,69612,27228,2882.0
2020-07-10,72460,28120,2960.0
2020-07-11,75194,29060,3055.0
2020-07-12,77506,29632,3150.0
2020-07-13,79735,29487,3250.0
2020-07-14,81757,27630,3345.0
2020-07-15,83867,27814,3432.0
2020-07-16,86148,28310,3522.0
2020-07-17,88171,28060,3616.0
2020-07-18,90220,28037,3691.0
2020-07-19,92530,28221,3781.0
2020-07-20,94693,27988,3869.0
2020-07-21,97159,28259,3950.0
2020-07-22,99865,28676,4042.0
2020-07-23,102226,28699,4122.0
2020-07-24,104711,29231,4212.0
2020-07-25,107573,29972,4284.0
2020-07-26,110032,30453,4362.0
2020-07-27,112585,30983,4458.0
2020-07-28,115332,29735,4535.0
2020-07-29,118300,30236,4603.0
2020-07-30,121263,31046,4671.0
2020-07-31,124609,32434,4741.0
2020-08-01,126704,32624,4805.0
2020-08-02,129151,32397,4868.0
2020-08-03,131886,32841,4934.0
2020-08-04,134722,33602,5017.0
2020-08-05,137556,34020,5094.0
2020-08-06,140603,34417,5161.0
2020-08-07,144064,35631,5236.0
2020-08-08,147389,36575,5310.0
2020-08-09,150115,36948,5392.0
2020-08-10,153599,38345,5464.0
2020-08-11,156995,39362,5531.0
2020-08-12,160436,40307,5588.0
2020-08-13,164277,41428,5641.0
2020-08-14,168290,42452,5709.0
2020-08-15,172583,44098,5785.0
