date,cases,active,death
2020-03-03,1,0,0
2020-03-04,2,0,0
2020-03-05,5,0,0
2020-03-06,5.01,0,0
2020-03-07,7,0,0
2020-03-08,11,0,0
2020-03-09,20,0,0
2020-03-10,20.01,0,0
2020-03-11,45,0,0
2020-03-12,45.01,0,0
2020-03-13,86,0,0
2020-03-14,103,0,0
2020-03-15,118,0,0
2020-03-16,133,0,0
2020-03-17,171,0,0
2020-03-18,238,0,0
2020-03-19,274,0,0
2020-03-20,344,0,0
2020-03-21,392,0,0
2020-03-22,511,0,0
2020-03-23,562,0,0
2020-03-24,767,0,0
2020-03-25,900,0,0
2020-03-26,1012,0,0
2020-03-27,1104,0,0
2020-03-28,1203,0,0
2020-03-29,1299,0,0
2020-03-30,1453,0,0
2020-03-31,1563,0,0
2020-04-01,1720,0,0
2020-04-02,1885,0,0
2020-04-03,2039,0,0
2020-04-04,2179,0,0
2020-04-05,2402,0,0
2020-04-06,2605,0,0
2020-04-07,2795,0,0
2020-04-08,2932,0,0
2020-04-09,3287,0,0
2020-04-10,3651,0,0
2020-04-11,4033,0,0
2020-04-12,4462,0,0
2020-04-13,4934,0,0
2020-04-14,5369,0,0
2020-04-15,5862,0,0
2020-04-16,6380,0,0
2020-04-17,7142,0,0
2020-04-18,8274,0,0
2020-04-19,9362,0,0
2020-04-20,10484,0,0
2020-04-21,11631,0,0
2020-04-22,12772,0,0
2020-04-23,13930,0,0
2020-04-24,15102,0,0
2020-04-25,16299,0,0
2020-04-26,17522,0,0
2020-04-27,18811,0,0
2020-04-28,20077,0,0
2020-04-29,21402,0,0
2020-04-30,22753,0,0
2020-05-01,24097,20373,169.0
2020-05-02,25459,21518,176.0
2020-05-03,27011,22693,184.0
2020-05-04,28656,23989,191.0
2020-05-05,30251,24620,200.0
2020-05-06,31938,24946,209.0
2020-05-07,33731,25714,219.0
2020-05-08,35432,26083,229.0
2020-05-09,37136,26753,239.0
2020-05-10,39048,27345,246.0
2020-05-11,41014,28022,255.0
2020-05-12,42925,27404,264.0
2020-05-13,44830,26935,273.0
2020-05-14,46869,27535,283.0
2020-05-15,49176,27015,292.0
2020-05-16,52016,28048,302.0
2020-05-17,54752,28718,312.0
2020-05-18,57345,28277,320.0
2020-05-19,59854,27891,329.0
2020-05-20,62545,28728,339.0
2020-05-21,65077,28686,351.0
2020-05-22,67719,28352,364.0
2020-05-23,70161,28546,379.0
2020-05-24,72560,28650,390.0
2020-05-25,74795,28728,399.0
2020-05-26,76726,27865,411.0
2020-05-27,78541,27094,425.0
2020-05-28,80185,25191,441.0
2020-05-29,81766,24295,458.0
2020-05-30,83384,24021,480.0
2020-05-31,85261,22316,503.0
2020-06-01,87142,22311,525.0
2020-06-02,89011,22672,549.0
2020-06-03,91182,22444,579.0
2020-06-04,93157,23581,611.0
2020-06-05,95748,24490,642.0
2020-06-06,98869,26402,676.0
2020-06-07,101914,28385,712.0
2020-06-08,105283,30013,746.0
2020-06-09,108571,31449,783.0
2020-06-10,112288,33515,819.0
2020-06-11,116021,35145,857.0
2020-06-12,119942,38020,893.0
2020-06-13,123308,39828,932.0
2020-06-14,127541,41849,972.0
2020-06-15,132048,43147,1011.0
2020-06-16,136315,45723,1052.0
2020-06-17,141234,48481,1091.0
2020-06-18,145991,50937,1139.0
2020-06-19,150292,53344,1184.0
2020-06-20,154233,54086,1230.0
2020-06-21,157612,55215,1267.0
2020-06-22,161005,54523,1307.0
2020-06-23,164144,52913,1346.0
2020-06-24,167267,53083,1387.0
2020-06-25,170639,51329,1428.0
2020-06-26,174577,52632,1474.0
2020-06-27,178504,54865,1511.0
2020-06-28,182493,56187,1551.0
2020-06-29,186436,57719,1599.0
2020-06-30,190823,58408,1649.0
2020-07-01,194225,59767,1698.0
2020-07-02,197608,58187,1752.0
2020-07-03,201801,59385,1802.0
2020-07-04,205929,60815,1858.0
2020-07-05,209509,62357,1916.0
2020-07-06,213716,62114,1968.0
2020-07-07,217108,60252,2017.0
2020-07-08,220144,60035,2059.0
2020-07-09,223327,60131,2100.0
2020-07-10,226486,61309,2151.0
2020-07-11,229480,61903,2181.0
2020-07-12,232259,62898,2223.0
2020-07-13,235111,63026,2243.0
2020-07-14,237803,57960,2283.0
2020-07-15,240474,55101,2325.0
2020-07-16,243238,53246,2370.0
2020-07-17,245851,52283,2407.0
2020-07-18,248416,51751,2447.0
2020-07-19,250920,50699,2486.0
2020-07-20,253349,47567,2523.0
2020-07-21,255825,46009,2557.0
2020-07-22,258156,45157,2601.0
2020-07-23,260394,44269,2635.0
2020-07-24,262772,44369,2672.0
2020-07-25,264973,44488,2703.0
2020-07-26,266941,43885,2733.0
2020-07-27,268934,43238,2760.0
2020-07-28,270831,42418,2789.0
2020-07-29,272590,41205,2816.0
2020-07-30,274219,40179,2842.0
2020-07-31,275905,37381,2866.0
2020-08-01,277478,37043,2887.0
2020-08-02,278835,35837,2917.0
2020-08-03,280093,35089,2949.0
2020-08-04,281456,34759,2984.0
2020-08-05,282824,34490,3020.0
2020-08-06,284226,34082,3055.0
2020-08-07,285793,33752,3093.0
2020-08-08,287262,33692,3130.0
2020-08-09,288690,33484,3167.0
2020-08-10,289947,33270,3199.0
2020-08-11,291468,33117,3233.0
2020-08-12,293037,32499,3269.0
2020-08-13,294519,30823,3303.0
2020-08-14,295902,29605,3338.0
2020-08-15,297315,29459,3369.0
2020-08-16,298542,28181,3408.0
