date,cases,active,death
2020-03-02,2,0,0
2020-03-03,4,0,0
2020-03-04,6,0,0
2020-03-05,9,0,0
2020-03-06,13,0,0
2020-03-07,21,0,0
2020-03-08,30,0,0
2020-03-09,39,0,0
2020-03-10,41,0,0
2020-03-11,61,0,0
2020-03-12,77,0,0
2020-03-13,111,0,0
2020-03-14,167,0,0
2020-03-15,242,0,0
2020-03-16,327,0,0
2020-03-17,442,0,0
2020-03-18,633,0,0
2020-03-19,775,0,0
2020-03-20,1006,0,0
2020-03-21,1262,0,0
2020-03-22,1578,0,0
2020-03-23,2031,0,0
2020-03-24,2329,0,0
2020-03-25,2952,0,0
2020-03-26,3494,0,0
2020-03-27,4207,0,0
2020-03-28,5096,0,0
2020-03-29,5877,0,0
2020-03-30,6316,6225,0
2020-03-31,7337,7240,0
2020-04-01,8133,8021,0
2020-04-02,8905,8757,0
2020-04-03,9745,9572,0
2020-04-04,10373,10183,0
2020-04-05,11117,10908,0
2020-04-06,11562,11279,0
2020-04-07,12264,11913,0
2020-04-08,12953,12565,0
2020-04-09,13756,13342,0
2020-04-10,15250,14804,0
2020-04-11,15758,15251,0
2020-04-12,16347,15804,0
2020-04-13,16691,16122,0
2020-04-14,17198,16534,0
2020-04-15,17832,17109,599
2020-04-16,18571,17719,629
2020-04-17,18749,17846,657
2020-04-18,19403,18388,687
2020-04-19,19916,18882,714
2020-04-20,20564,19518,735
2020-04-21,21073,19700,762
2020-04-22,21667,20054,785
2020-04-23,22033,20332,820
2020-04-24,22470,20715,854
2020-04-25,23057,21235,880
2020-04-26,23522,21632,903
2020-04-27,23683,21742,928
2020-04-28,23973,21985,948
2020-04-29,24154,22062,973
2020-04-30,24686,22537,989
2020-05-01,24988,22697,1007
2020-05-02,25190,22496,1023

2020-05-03,25282,22550,1043.0
2020-05-04,25524,22749,1063.0
2020-05-05,25702,22885,1074.0
2020-05-06,26182,23017,1089.0
2020-05-07,26715,23352,1105.0
2020-05-08,27268,23732,1114.0
2020-05-09,27406,23781,1126.0
2020-05-10,27581,23897,1135.0
2020-05-11,27679,23986,1144.0
2020-05-12,27913,23737,1163.0
2020-05-13,28132,23775,1175.0
2020-05-14,28319,23937,1184.0
2020-05-15,28583,24065,1190.0
2020-05-16,28810,23785,1203.0
2020-05-17,29036,23182,1218.0
2020-05-18,29209,21548,1231.0
2020-05-19,29432,21754,1247.0
2020-05-20,29660,21945,1263.0
2020-05-21,29912,22183,1277.0
2020-05-22,30200,21321,1289.0
2020-05-23,30471,21464,1302.0
2020-05-24,30623,11758,1316.0
2020-05-25,30788,11636,1330.0
2020-05-26,31007,11569,1342.0
2020-05-27,31292,11587,1356.0
2020-05-28,31596,11590,1369.0
2020-05-29,31946,11652,1383.0
2020-05-30,32203,11621,1396.0
2020-05-31,32500,11681,1410.0
2020-06-01,32700,11724,1424.0
2020-06-02,32895,11590,1436.0
2020-06-03,33261,11735,1447.0
2020-06-04,33592,11814,1455.0
2020-06-05,33969,11978,1465.0
2020-06-06,34351,12070,1474.0
2020-06-07,34693,12219,1479.0
2020-06-08,34885,12244,1485.0
2020-06-09,35306,12475,1492.0
2020-06-10,35600,12361,1497.0
2020-06-11,35910,12404,1504.0
2020-06-12,36180,12475,1505.0
2020-06-13,36463,12513,1512.0
2020-06-14,36690,12504,1517.0
2020-06-15,37036,12664,1520.0
2020-06-16,37336,12602,1522.0
2020-06-17,37672,12569,1523.0
2020-06-18,38089,12555,1524.0
2020-06-19,38464,12460,1527.0
2020-06-20,38841,12407,1528.0
2020-06-21,39133,12227,1530.0
2020-06-22,39392,12310,1534.0
2020-06-23,39737,12368,1540.0
2020-06-24,40104,12478,1543.0
2020-06-25,40415,12484,1549.0
2020-06-26,40866,12678,1555.0
2020-06-27,41189,12764,1561.0
2020-06-28,41646,13016,1564.0
2020-06-29,41912,13139,1568.0
2020-06-30,42141,13060,1576.0
2020-07-01,42454,13077,1579.0
2020-07-02,42782,13098,1587.0
2020-07-03,43156,13134,1598.0
2020-07-04,43569,13192,1605.0
2020-07-05,43897,13266,1614.0
2020-07-06,44129,13343,1620.0
2020-07-07,44416,13342,1629.0
2020-07-08,44859,13514,1631.0
2020-07-09,45277,13584,1644.0
2020-07-10,45679,13683,1646.0
2020-07-11,46221,13912,1654.0
2020-07-12,46512,13945,1660.0
2020-07-13,46818,14091,1662.0
2020-07-14,47051,13833,1668.0
2020-07-15,47426,13640,1676.0
2020-07-16,47765,13610,1679.0
2020-07-17,48077,13605,1682.0
2020-07-18,48390,13553,1684.0
2020-07-19,48636,13578,1689.0
2020-07-20,48771,13533,1691.0
2020-07-21,48898,13432,1697.0
2020-07-22,49150,13449,1702.0
2020-07-23,49379,13305,1705.0
2020-07-24,49692,13293,1712.0
2020-07-25,49955,13229,1716.0
2020-07-26,50164,13230,1717.0
2020-07-27,50299,13205,1719.0
2020-07-28,50410,13062,1722.0
2020-07-29,50613,13013,1725.0
2020-07-30,50868,13001,1727.0
2020-07-31,51072,12854,1735.0
2020-08-01,51310,12790,1737.0
2020-08-02,51463,12741,1738.0
2020-08-03,51569,12720,1738.0
2020-08-04,51681,12624,1739.0
2020-08-05,51848,12543,1740.0
2020-08-06,52061,12478,1743.0
2020-08-07,52351,12518,1746.0
2020-08-08,52537,12423,1750.0
2020-08-09,52668,12401,1756.0
2020-08-10,52825,12466,1759.0
2020-08-11,52945,12424,1761.0
2020-08-12,53223,12519,1764.0
2020-08-13,53548,12601,1770.0
2020-08-14,53783,12637,1772.0
2020-08-15,53981,12621,1775.0
2020-08-16,54102,12627,1778.0
2020-08-17,54234,12655,1779.0
2020-08-18,54448,12728,1784.0
2020-08-19,54701,12786,1786.0
2020-08-20,54992,12940,1788.0
2020-08-21,55211,12946,1792.0
2020-08-22,55452,13006,1794.0
2020-08-23,55597,13027,1796.0
2020-08-24,55720,13039,1801.0
2020-08-25,55912,13086,1805.0
2020-08-26,56274,13283,1807.0
2020-08-27,56673,13507,1809.0
2020-08-28,57074,13703,1815.0
2020-08-29,57448,13864,1818.0
2020-08-30,57768,14064,1819.0
2020-08-31,58012,14229,1822.0
2020-09-01,58243,14315,1824.0
2020-09-02,58633,14573,1827.0
2020-09-03,59051,14795,1829.0
2020-09-04,59457,15048,1833.0
2020-09-05,59943,15312,1838.0
2020-09-06,60258,15465,1840.0
2020-09-07,60507,15648,1843.0
2020-09-08,60895,15903,1846.0
2020-09-09,61541,16408,1849.0
2020-09-10,62126,16833,1852.0
2020-09-11,62813,17314,1855.0
2020-09-12,63310,17556,1860.0
2020-09-13,63983,18047,1867.0
2020-09-14,64596,18540,1871.0
2020-09-15,65021,18784,1875.0
2020-09-16,65626,19220,1878.0
2020-09-17,66396,19714,1888.0
2020-09-18,67176,20229,1894.0
2020-09-19,68025,20722,1899.0
2020-09-20,68577,21069,1912.0
2020-09-21,69200,21544,1920.0
2020-09-22,69663,21764,1925.0
2020-09-23,70465,22247,1928.0
2020-09-24,71156,22549,1931.0
2020-09-25,72055,23116,1936.0
2020-09-26,72939,23615,1944.0
2020-09-27,73604,24004,1953.0
2020-09-28,74029,24188,1957.0
2020-09-29,74717,24561,1963.0
2020-09-30,75542,25041,1971.0
2020-10-01,76396,25482,1977.0
2020-10-02,77284,25942,1983.0
2020-10-03,78247,26407,1995.0
2020-10-04,79151,26939,2005.0
2020-10-05,79885,27413,2018.0
2020-10-06,80312,27568,2032.0
2020-10-07,81256,28179,2040.0
2020-10-08,82534,28967,2050.0
2020-10-09,83928,29702,2062.0
2020-10-10,85574,30704,2067.0
2020-10-11,86664,31397,2080.0
2020-10-12,87913,32321,2094.0
2020-10-13,89121,32964,2110.0
2020-10-14,91193,34583,2117.0
2020-10-15,93294,36085,2128.0
2020-10-16,95902,37687,2149.0
2020-10-17,98055,37974,2162.0
2020-10-18,99911,38730,2181.0
2020-10-19,101860,39696,2198.0
2020-10-20,103736,39625,2213.0
2020-10-21,106271,40804,2229.0
2020-10-22,109541,42765,2245.0
2020-10-23,112440,44284,2276.0
2020-10-24,116109,45970,2297.0
2020-10-25,118686,47493,2316.0
2020-10-26,121133,48834,2343.0
2020-10-27,124432,49717,2371.0
2020-10-28,128392,51996,2395.0
2020-10-29,132616,54486,2428.0
2020-10-30,137272,57355,2468.0
2020-10-31,141279,58492,2507.0
2020-11-01,144341,60026,2544.0
2020-11-02,146847,60963,2590.0
2020-11-03,149443,60219,2635.0
2020-11-04,156940,65300,2694.0
2020-11-05,161350,67157,2740.0
2020-11-06,166900,70354,2792.0
2020-11-07,173540,72945,2848.0
2020-11-08,179324,76647,2896.0
2020-11-09,183420,78378,2959.0
2020-11-10,187237,77338,3021.0
2020-11-11,192172,78716,3103.0
2020-11-12,198011,81141,3181.0
2020-11-13,204664,84032,3250.0
2020-11-14,211266,85444,3305.0
2020-11-15,217301,88854,3381.0
2020-11-16,225672,80045,3472.0
2020-11-17,230124,77126,3553.0
2020-11-18,236015,78681,3632.0
2020-11-19,243009,81384,3701.0
2020-11-20,249498,82736,3762.0
2020-11-21,255970,82767,3824.0
2020-11-22,260758,83942,3897.0
2020-11-23,264802,84004,3971.0
2020-11-24,268721,80432,4056.0
2020-11-25,274011,80528,4127.0
2020-11-26,280394,82241,4209.0
2020-11-27,285838,82116,4276.0
2020-11-28,290706,80068,4363.0
2020-11-29,294799,80838,4427.0
2020-11-30,298061,80614,4505.0
2020-12-01,300462,75008,4577.0
2020-12-02,303846,75755,4645.0
2020-12-03,307618,73876,4724.0
2020-12-04,312553,73712,4803.0
2020-12-05,318640,73561,4876.0
2020-12-06,322474,74456,4963.0
2020-12-07,325071,74187,5041.0
2020-12-08,327976,70426,5122.0
2020-12-09,332073,72181,5192.0
2020-12-10,335207,70381,5278.0
2020-12-11,340287,71266,5373.0
2020-12-12,344700,70786,5461.0
2020-12-13,348744,71863,5559.0
2020-12-14,350938,71012,5649.0
2020-12-15,353576,67805,5733.0
2020-12-16,358296,68762,5815.0
2020-12-17,362616,69686,5902.0
2020-12-18,366952,70285,5977.0
2020-12-19,370787,69910,6063.0
2020-12-20,374121,70754,6134.0
2020-12-21,376220,70426,6191.0
2020-12-22,378656,67577,6254.0
2020-12-23,383258,68469,6343.0
2020-12-24,387636,68690,6413.0
2020-12-25,391782,70178,6478.0
2020-12-26,392996,69769,6556.0
2020-12-27,394573,68208,6619.0
2020-12-28,396666,68307,6677.0
2020-12-29,400002,65457,6751.0
2020-12-30,406051,68205,6830.0
2020-12-31,413678,72496,6906.0
2021-01-01,420629,74989,6972.0
2021-01-02,423870,76675,7045.0
2021-01-03,427254,77601,7118.0
2021-01-04,431623,80008,7196.0
2021-01-05,436579,80183,7286.0
2021-01-06,446606,87004,7377.0
2021-01-07,456533,93360,7472.0
2021-01-08,466709,98938,7590.0
2021-01-09,476187,102406,7701.0
2021-01-10,483689,106778,7803.0
2021-01-11,489293,109312,7925.0
2021-01-12,496552,110388,8080.0
2021-01-13,507108,116328,8236.0
2021-01-14,517806,121815,8384.0
2021-01-15,528469,125861,8543.0
2021-01-16,539416,128165,8709.0
2021-01-17,549801,134011,8861.0
2021-01-18,556503,135886,9028.0
2021-01-19,566958,135841,9246.0
2021-01-20,581605,143776,9465.0
2021-01-21,595149,151226,9686.0
2021-01-22,609136,157660,9920.0
2021-01-23,624469,162951,10194.0
2021-01-24,636190,169230,10469.0
2021-01-25,643113,170635,10721.0
2021-01-26,653878,167381,11012.0
2021-01-27,668951,172893,11305.0
2021-01-28,685383,180076,11608.0
2021-01-29,698583,181811,11886.0
2021-01-30,711018,179939,12179.0
2021-01-31,720516,181623,12482.0
2021-02-01,726321,179180,12757.0
2021-02-02,731861,166888,13017.0
2021-02-03,740944,164513,13257.0
2021-02-04,748858,161442,13482.0
2021-02-05,755774,156758,13740.0
2021-02-06,761906,148359,13954.0
2021-02-07,765414,145090,14158.0
2021-02-08,767919,140644,14354.0
2021-02-09,770502,127867,14557.0
2021-02-10,774889,123312,14718.0
2021-02-11,778369,118362,14885.0
2021-02-12,781223,113450,15034.0
2021-02-13,784079,107371,15183.0
2021-02-14,785756,105119,15321.0
2021-02-15,787059,102794,15411.0
2021-02-16,788561,95320,15522.0
2021-02-17,790885,92175,15649.0
2021-02-18,792829,89613,15754.0
2021-02-19,794769,87082,15821.0
2021-02-20,796339,83526,15897.0
2021-02-21,797525,82341,15962.0
2021-02-22,798074,80642,16023.0
2021-02-23,799106,77044,16086.0
2021-02-24,800586,75396,16136.0
2021-02-25,801746,73848,16185.0
2021-02-26,802773,72037,16243.0
2021-02-27,803844,70255,16276.0
2021-02-28,804562,69268,16317.0
2021-03-01,804956,68370,16351.0
2021-03-02,805647,65793,16389.0
2021-03-03,806626,64797,16430.0
2021-03-04,807456,63945,16458.0
2021-03-05,808405,63260,16486.0
2021-03-06,809412,62299,16512.0
