date,cases,active,death
2020-01-30,1
2020-02-02,2
2020-02-06,3
2020-03-07,5
2020-03-08,6
2020-03-09,10
2020-03-10,33
2020-03-12,49
2020-03-13,52
2020-03-14,64
2020-03-15,111
2020-03-16,140
2020-03-17,142
2020-03-18,187
2020-03-19,202
2020-03-20,230
2020-03-22,380
2020-03-24,462
2020-03-25,552
2020-03-26,636
2020-03-27,707
2020-03-28,803
2020-03-29,1075
2020-03-30,1418
2020-03-31,2084
2020-04-01,2311
2020-04-02,2633
2020-04-03,3018
2020-04-04,3094,0
2020-04-05,3414,3198
2020-04-06,3660,3424
2020-04-07,3764,3503
2020-04-08,3870,3592
2020-04-09,4076,3749
2020-04-10,4195,3834
2020-04-11,4428,4024
2020-04-12,4648,4154
2020-04-13,4932,4375
2020-04-14,5223,4593
2020-04-15,5453,4751,349.0
2020-04-16,5660,4863,362.0
2020-04-17,5878,5004,387.0
2020-04-18,6087,5174,397.0
2020-04-19,6259,5278,409.0
2020-04-20,6459,5418,428.0
2020-04-21,6599,5508,437.0
2020-04-22,6710,5571,446.0
2020-04-23,6981,5797,462.0
2020-04-24,7192,5953,477.0
2020-04-25,7294,6008,494.0
2020-04-26,7579,6216,501.0
2020-04-27,7777,6334,511.0
2020-04-28,7958,6453,530.0
2020-04-29,8212,6631,558.0
2020-04-30,8488,6877,568.0
2020-05-01,8772,7109,579.0
2020-05-02,8928,7201,603.0
2020-05-03,9223,7402,607.0
2020-05-04,9485,7547,623.0
2020-05-05,9684,7639,637.0
2020-05-06,10004,7840,658.0
2020-05-07,10343,8040,685.0
2020-05-08,10463,8033,696.0
2020-05-09,10610,8064,704.0
2020-05-10,10794,8151,719.0
2020-05-11,11086,8361,726.0
2020-05-12,11350,8493,751.0
2020-05-13,11618,8595,772.0
2020-05-14,11876,8749,790.0
2020-05-15,12091,8825,806.0
2020-05-16,12305,8927,817.0
2020-05-17,12513,9054,824.0
2020-05-18,12718,9158,831.0
2020-05-19,12942,9262,837.0
2020-05-20,13221,9447,842.0
2020-05-21,13434,9588,846.0
2020-05-22,13597,9648,857.0
2020-05-23,13777,9737,863.0
2020-05-24,14035,9918,868.0
2020-05-25,14319,10123,873.0
2020-05-26,14669,10371,886.0
2020-05-27,15049,10639,904.0
2020-05-28,15588,11069,921.0
2020-05-29,16634,11972,942.0
2020-05-30,17224,12466,950.0
2020-05-31,18086,13220,957.0
2020-06-01,18638,13699,960.0
2020-06-02,18997,13968,966.0
2020-06-03,19748,14621,974.0
2020-06-04,20382,15150,984.0
2020-06-05,20626,15309,987.0
2020-06-06,21340,15905,994.0
2020-06-07,21895,16362,1003.0
2020-06-08,22474,16826,1011.0
2020-06-09,22992,17239,1017.0
2020-06-10,23732,17810,1027.0
2020-06-11,24175,17974,1036.0
2020-06-12,24787,18281,1052.0
2020-06-13,25392,18612,1074.0
2020-06-14,25930,18888,1088.0
2020-06-15,26420,19070,1098.0
2020-06-16,26781,19126,1103.0
2020-06-17,27238,19310,1108.0
2020-06-18,27799,19593,1116.0
2020-06-19,28459,19951,1130.0
2020-06-20,29400,20600,1150.0
2020-06-21,30052,20990,1169.0
2020-06-22,30682,21362,1177.0
2020-06-23,31825,22197,1186.0
2020-06-24,32295,22435,1204.0
2020-06-25,33069,22947,1212.0
2020-06-26,34073,23667,1224.0
2020-06-27,34803,24137,1236.0
2020-06-28,35455,24525,1244.0
2020-06-29,36438,25227,1255.0
2020-06-30,37514,26015,1266.0
2020-07-01,38511,26803,1270.0
2020-07-02,38805,26858,1274.0
2020-07-03,40336,27983,1280.0
2020-07-04,41830,29087,1290.0
2020-07-05,46333,32845,1303.0
2020-07-06,47873,34178,1309.0
2020-07-07,49100,34178,1309.0
2020-07-08,50359,36457,1314.0
2020-07-09,51754,37627,1314.0
2020-07-10,52914,38324,1360.0
2020-07-11,54222,38813,1372.0
2020-07-12,56259,38679,1534.0
2020-07-13,57006,35036,1599.0
2020-07-14,57545,35483,1603.0
2020-07-15,58850,36260,1614.0
2020-07-16,61266,38183,1643.0
2020-07-17,63001,39593,1660.0
2020-07-18,65304,41464,1773.0
2020-07-19,67456,43160,1831.0
2020-07-20,68898,43991,1835.0
2020-07-21,70764,45646,1837.0
2020-07-22,72269,46803,1843.0
2020-07-23,74390,48136,1871.0
2020-07-24,76444,50063,1879.0
2020-07-25,78412,50763,1897.0
2020-07-26,80448,52406,1932.0
2020-07-27,82040,53649,1945.0
2020-07-28,83673,55109,1947.0
2020-07-29,85486,56528,1962.0
2020-07-30,89374,22327,1983.0
2020-07-31,93354,26153,2023.0
2020-08-01,98153,35569,2059.0
2020-08-02,106330,38405,2104.0
2020-08-03,112593,44429,2115.0
2020-08-04,115980,47587,2123.0
2020-08-05,119460,50473,2150.0
2020-08-06,122754,53734,2168.0
2020-08-07,126885,57559,2209.0
2020-08-08,129913,59970,2270.0
2020-08-09,134639,59970,2270.0
2020-08-10,139538,68794,2312.0
2020-08-11,143749,72348,2404.0
2020-08-12,147526,74713,2426.0
2020-08-13,153660,79813,2442.0
2020-08-14,157918,83109,2600.0
2020-08-15,159576,83109,2600.0
2020-08-16,161253,46002,2665.0
2020-08-17,169213,53665,2687.0
2020-08-18,173774,57498,2795.0
2020-08-19,178022,61025,2883.0
2020-08-20,182365,61025,2883.0
2020-08-21,187249,69362,2966.0
2020-08-22,189601,55236,2998.0
2020-08-23,194252,59200,3010.0
2020-08-24,197164,61730,3038.0
2020-08-25,202361,65764,3137.0
2020-08-26,205581,68357,3234.0
2020-08-27,209544,71835,3235.0
2020-08-28,213131,74611,3419.0
2020-08-29,217396,56473,3520.0
2020-08-30,220819,59699,3558.0
2020-08-31,224264,62655,3597.0
2020-09-01,226440,64207,3623.0
2020-09-02,228403,65240,3688.0
2020-09-03,232072,67786,3737.0
2020-09-04,234570,69112,3790.0
2020-09-05,237365,48803,3875.0
2020-09-06,238727,49931,3890.0
2020-09-07,241987,52893,3916.0
2020-09-08,245143,55614,3986.0
2020-09-09,248947,58823,4066.0
2020-09-10,252964,62250,4108.0
2020-09-11,257863,66455,4292.0
2020-09-12,261216,49277,4371.0
2020-09-13,265888,53754,4630.0
2020-09-14,269407,57392,4663.0
2020-09-15,272934,60344,4732.0
2020-09-16,276289,63408,4785.0
2020-09-17,279851,63408,4785.0
2020-09-18,283460,68645,4930.0
2020-09-19,286743,51894,4984.0
2020-09-20,290190,54958,4999.0
2020-09-21,291789,56097,5049.0
2020-09-22,294591,58127,5091.0
2020-09-23,296755,59700,5127.0
2020-09-24,299361,61766,5196.0
2020-09-25,301256,63066,5284.0
2020-09-26,304226,46372,5344.0
2020-09-27,307288,49242,5381.0
2020-09-28,309303,50925,5448.0
2020-09-29,311694,52702,5504.0
2020-09-30,314079,54294,5562.0
2020-10-01,316678,56445,5616.0
2020-10-02,319330,58606,5678.0
2020-10-03,322497,43642,5776.0
2020-10-04,324762,45799,5840.0
2020-10-05,326833,47655,5865.0
2020-10-06,329637,49989,5925.0
2020-10-07,331869,51482,6069.0
2020-10-08,334770,53311,6152.0
