date,cases,active,death
2020-01-22,580,563,17
2020-01-23,845,786,25
2020-01-24,1317,1238,41
2020-01-25,2015,1910,56
2020-01-26,2800,2669,80
2020-01-27,4581,4415,106
2020-01-28,6058,5823,132
2020-01-29,7813,7519,170
2020-01-30,9823,9439,213
2020-01-31,11950,11448,259
2020-02-01,14553,13921,304
2020-02-02,17391,16525,362
2020-02-03,20630,19561,426
2020-02-04,24545,23146,492
2020-02-05,28266,26528,565
2020-02-06,31439,29239,638
2020-02-07,34876,32069,724
2020-02-08,37552,34055,813
2020-02-09,40553,36320,910
2020-02-10,43099,38038,1018
2020-02-11,45134,39216,1115
2020-02-12,59287,52039,1261
2020-02-13,64438,56247,1383
2020-02-14,67100,57378,1526
2020-02-15,69197,57990,1669
2020-02-16,71329,58581,1775
2020-02-17,73332,58747,1873
2020-02-18,75184,58622,2009
2020-02-19,75700,57217,2126
2020-02-20,76677,55906,2247
2020-02-21,77673,54418,2360
2020-02-22,78651,53541,2460
2020-02-23,79205,51596,2618
2020-02-24,80087,49922,2699
2020-02-25,80828,48014,2763
2020-02-26,81820,46215,2800
2020-02-27,83112,43734,2858
2020-02-28,84615,42262,2923
2020-02-29,86604,41297,2977
2020-03-01,88585,40413,3050
2020-03-02,90443,39218,3117
2020-03-03,93016,38870,3202
2020-03-04,95314,38505,3285
2020-03-05,98425,39433,3387
2020-03-06,102050,40947,3494
2020-03-07,106099,42328,3599
2020-03-08,109991,43886,3827
2020-03-09,114381,46300,4025
2020-03-10,118948,48031,4296
2020-03-11,126214,53279,4696
2020-03-12,134576,59168,4981
2020-03-13,145483,67413,5428
2020-03-14,156653,74717,5833
2020-03-15,169593,85544,6520
2020-03-16,182490,95623,7162
2020-03-17,198238,107556,7979
2020-03-18,218822,124459,8951
2020-03-19,244933,146709,10030
2020-03-20,275597,172591,11386
2020-03-21,305036,196473,13011
2020-03-22,337489,224192,14640
2020-03-23,378860,260248,16514
2020-03-24,422629,294801,18895
2020-03-25,471035,335525,21283
2020-03-26,531864,383849,24074
2020-03-27,596366,435963,27345
2020-03-28,663079,490746,30863
2020-03-29,723279,537486,34074
2020-03-30,784738,581577,37783
2020-03-31,858355,639125,42320
2020-04-01,936237,694405,47210
2020-04-02,1016330,749960,53189
2020-04-03,1117928,829727,58909
2020-04-04,1203058,891617,64708
2020-04-05,1274578,940253,69447
2020-04-06,1347566,987685,74678
2020-04-07,1432869,1048417,82063
2020-04-08,1519195,1099804,88480
2020-04-09,1605277,1152601,95714
2020-04-10,1700004,1220740,102688
2020-04-11,1780713,1267385,108780
2020-04-12,1853505,1315520,114197
2020-04-13,1925330,1357667,119618
2020-04-14,2000065,1388714,130379
2020-04-15,2084633,1434673,138475.0
2020-04-16,2183942,1484247,145471.0
2020-04-17,2252370,1523589,154322.0
2020-04-18,2332650,1571719,160791.0
2020-04-19,2407467,1617191,165074.0
2020-04-20,2482272,1659630,170472.0
2020-04-21,2557917,1684904,177688.0
2020-04-22,2638909,1732605,184249.0
2020-04-23,2725972,1785395,191061.0
2020-04-24,2833697,1828874,197354.0
2020-04-25,2921571,1881221,203299.0
2020-04-26,2995209,1906675,207009.0
2020-04-27,3065871,1930949,211663.0
2020-04-28,3139009,1961899,218013.0
2020-04-29,3221029,1987698,228252.0
2020-04-30,3308772,2031646,234133.0
2020-05-01,3401318,2079999,239614.0
2020-05-02,3484631,2115550,244791.0
2020-05-03,3566531,2163679,248302.0
2020-05-04,3646261,2193559,252420.0
2020-05-05,3727993,2227157,258354.0
2020-05-06,3820617,2252478,265084.0
2020-05-07,3917653,2302754,270721.0
2020-05-08,4014401,2350972,276238.0
2020-05-09,4101974,2379657,280451.0
2020-05-10,4181146,2403830,283868.0
2020-05-11,4256053,2441149,287336.0
2020-05-12,4342354,2447018,292893.0
2020-05-13,4429810,2471845,298174.0
2020-05-14,4526934,2519249,303407.0
2020-05-15,4628821,2560465,308654.0
2020-05-16,4722233,2595953,313266.0
2020-05-17,4805186,2628420,316730.0
2020-05-18,4891326,2663779,320134.0
2020-05-19,4986332,2702926,324910.0
2020-05-20,5088124,2735629,329768.0
2020-05-21,5194106,2778567,334616.0
2020-05-22,5306235,2806032,340047.0
2020-05-23,5404648,2813416,343982.0
2020-05-24,5502512,2853304,346761.0
2020-05-25,5590358,2875877,347907.0
2020-05-26,5687750,2903853,352261.0
2020-05-27,5792179,2936005,357467.0
2020-05-28,5909014,2964982,362081.0
2020-05-29,6033875,3005769,366894.0
2020-05-30,6161485,3052136,371016.0
2020-05-31,6267408,3045906,373961.0
2020-06-01,6370763,3088556,377516.0
2020-06-02,6452703,3002538,382484.0
2020-06-03,6573641,3014451,388042.0
2020-06-04,6703095,3057493,393224.0
2020-06-05,6850473,3100980,398244.0
2020-06-06,6982883,3167193,402273.0
2020-06-07,7102965,3230031,406343.0
2020-06-08,7200364,3254643,408744.0
2020-06-09,7324876,3306224,413726.0
2020-06-10,7459741,3262163,419041.0
2020-06-11,7599633,3332009,423885.0
2020-06-12,7740618,3345677,428352.0
2020-06-13,7872684,3397743,432475.0
2020-06-14,7997084,3432362,435662.0
2020-06-15,8128491,3446293,439428.0
2020-06-16,8264468,3496335,446135.0
2020-06-17,8406083,3538863,451387.0
2020-06-18,8585194,3594096,456439.0
2020-06-19,8766035,3675461,462691.0
2020-06-20,8931812,3715257,467011.0
2020-06-21,9051947,3739088,470822.0
2020-06-22,9192752,3778571,474445.0
2020-06-23,9359818,3833624,479880.0
2020-06-24,9533141,3868982,485122.0
2020-06-25,9714809,3972866,491856.0
2020-06-26,9910068,4052279,496991.0
2020-06-27,10087839,4120074,501436.0
2020-06-28,10249460,4188360,504466.0
2020-06-29,10412421,4235525,508228.0
2020-06-30,10591079,4278085,514021.0
2020-07-01,10810307,4258239,519083.0
2020-07-02,10992367,4315762,524177.0
2020-07-03,11197174,4325127,529197.0
2020-07-04,11386554,4407916,533581.0
2020-07-05,11580369,4495050,537197.0
2020-07-06,11756093,4462339,541079.0
2020-07-07,11956871,4506638,546765.0
2020-07-08,12170840,4548485,552129.0
2020-07-09,12394656,4612017,557510.0
2020-07-10,12631066,4701655,562894.0
2020-07-11,12862313,4798700,568039.0
2020-07-12,13041719,4881920,571674.0
2020-07-13,13240715,4957923,575601.0
2020-07-14,13465190,5027948,581405.0
2020-07-15,13697235,4954556,586890.0
2020-07-16,13953344,5075383,592778.0
2020-07-17,14195482,5124746,599454.0
2020-07-18,14429371,5203530,604963.0
2020-07-19,14645947,5300054,608942.0
2020-07-20,14860511,5331948,613389.0
2020-07-21,15099548,5363666,619605.0
2020-07-22,15379943,5394748,630313.0
2020-07-23,15660556,5477523,636633.0
2020-07-24,15955887,5558594,643040.0
2020-07-25,16207130,5643564,648485.0
2020-07-26,16424841,5719520,652343.0
2020-07-27,16661348,5748654,656922.0
2020-07-28,16901806,5774521,663571.0
2020-07-29,17213073,5815968,670904.0
2020-07-30,17482602,5863225,676835.0
2020-07-31,17758804,5914285,682999.0
2020-08-01,18042795,6012752,689164.0
2020-08-02,18252275,6103381,693114.0
2020-08-03,18467839,6074627,697876.0
2020-08-04,18728908,6082422,704838.0
2020-08-05,18996129,6099737,711564.0
2020-08-06,19282056,6186816,718074.0
2020-08-07,19551958,6276608,724210.0
2020-08-08,19817570,6358214,729748.0
2020-08-09,20031558,6393417,734098.0
2020-08-10,20269337,6330812,739428.0
2020-08-11,20553328,6341034,746652.0
2020-08-12,20824419,6355736,747503.0
2020-08-13,21088506,6389492,757656.0
2020-08-14,21368534,6445473,763572.0
2020-08-15,21628638,6520940,769128.0
2020-08-16,21836828,6495199,773197.0
2020-08-17,22069420,6484002,777751.0
2020-08-18,22322068,6474486,784651.0
