date,cases,active,death
2020-03-10,1,0,
2020-03-11,1.01,0,
2020-03-12,1.02,0,
2020-03-13,15,0,
2020-03-14,18,0,
2020-03-15,55,0,
2020-03-16,145,0,
2020-03-17,303,0,
2020-03-18,591,0,
2020-03-19,1111,0,
2020-03-20,2074,0,
2020-03-21,2931,0,
2020-03-22,3826,0,
2020-03-23,4733,0,
2020-03-24,5795,0,
2020-03-25,7532,0,
2020-03-26,11235,0,
2020-03-27,17640,0,
2020-03-28,22915,0,
2020-03-29,28534,0,
2020-03-30,33519,10497,
2020-03-31,41890,13074,
2020-04-01,48540,15069,
2020-04-02,56144,17364,
2020-04-03,64769,20012,
2020-04-04,74097,22647,
2020-04-05,83803,25453,
2020-04-06,93548,28242,
2020-04-07,105598,31802,
2020-04-08,118344,35568,
2020-04-09,130901,39232,
2020-04-10,145597,43600,
2020-04-11,161504,48101,
2020-04-12,176330,52312,
2020-04-13,189001,55796,
2020-04-14,201577,58909,
2020-04-15,214831,62200,1518.0
2020-04-16,229694,65461,1643.0
2020-04-17,243170,68146,1769.0
2020-04-18,254882,69986,1890.0
2020-04-19,267195,72313,2017.0
2020-04-20,281665,75410,2140.0
2020-04-21,295940,78414,2259.0
2020-04-22,305485,79821,2376.0
2020-04-23,315132,80808,2491.0
2020-04-24,324797,80575,2600.0
2020-04-25,333655,79485,2706.0
2020-04-26,340952,78185,2805.0
2020-04-27,347549,75570,2900.0
2020-04-28,354954,72852,2992.0
2020-04-29,364044,70468,3081.0
2020-04-30,372140,68144,3174.0
2020-05-01,378914,65326,3258.0
2020-05-02,385053,62780,3336.0
2020-05-03,390223,59497,3397.0
2020-05-04,395220,56032,3461.0
2020-05-05,400891,52686,3520.0
2020-05-06,407866,49958,3584.0
2020-05-07,413987,47096,3641.0
2020-05-08,419708,45484,3689.0
2020-05-09,424495,43896,3739.0
2020-05-10,429268,42180,3786.0
2020-05-11,432717,40150,3841.0
2020-05-12,437993,38692,3894.0
2020-05-13,443067,37447,3952.0
2020-05-14,448129,36712,4007.0
2020-05-15,453417,36269,4055.0
2020-05-16,458401,35834,4096.0
2020-05-17,462636,35333,4140.0
2020-05-18,466221,34845,4171.0
2020-05-19,469385,34521,4199.0
2020-05-20,472394,34378,4222.0
2020-05-21,475370,34309,4249.0
2020-05-22,478317,34113,4276.0
2020-05-23,481989,33776,4308.0
2020-05-24,485521,33793,4340.0
2020-05-25,488577,33430,4369.0
2020-05-26,491512,32858,4397.0
2020-05-27,494716,32573,4431.0
2020-05-28,498375,32149,4461.0
2020-05-29,501908,31668,4489.0
2020-05-30,504951,31604,4515.0
2020-05-31,507548,31429,4540.0
2020-06-01,510109,31259,4563.0
2020-06-02,512542,31049,4585.0
2020-06-03,515226,30961,4609.0
2020-06-04,518285,31002,4630.0
2020-06-05,521164,30292,4648.0
2020-06-06,523882,29227,4669.0
2020-06-07,526712,27471,4692.0
2020-06-08,529774,25030,4711.0
2020-06-09,532848,22787,4729.0
2020-06-10,535703,21451,4746.0
2020-06-11,538758,21400,4763.0
2020-06-12,542458,21338,4778.0
