date,cases,active,death
2020-03-12,16,0
2020-03-13,79,0
2020-03-14,115,0
2020-03-15,171,0
2020-03-16,205,0
2020-03-17,225,0
2020-03-18,258,0
2020-03-19,267,0
2020-03-20,283,0
2020-03-21,306,0
2020-03-22,326,0
2020-03-23,352,0
2020-03-24,369,0
2020-03-25,404,0
2020-03-26,538,0
2020-03-27,575,563
2020-03-28,645,624
2020-03-29,679,656
2020-03-30,715,692
2020-03-31,745,715
2020-04-01,779,741
2020-04-02,858,802
2020-04-03,961,901
2020-04-04,1039,967
2020-04-05,1097,1020
2020-04-06,1108,1027
2020-04-07,1149,1059
2020-04-08,1185,1089
2020-04-09,1207,1100
2020-04-10,1258,1141
2020-04-11,1304,1187
2020-04-12,1309,1186
2020-04-13,1332,1202
2020-04-14,1373,1227
2020-04-15,1400,1248,35.0
2020-04-16,1434,1265,36.0
2020-04-17,1459,1276,38.0
2020-04-18,1512,1312,38.0
2020-04-19,1528,1324,40.0
2020-04-20,1535,1330,40.0
2020-04-21,1552,1340,43.0
2020-04-22,1559,1331,44.0
2020-04-23,1592,1355,45.0
2020-04-24,1605,1353,46.0
2020-04-25,1635,1361,46.0
2020-04-26,1643,1361,49.0
2020-04-27,1647,1364,50.0
2020-04-28,1660,1370,50.0
2020-04-29,1666,1380,50.0
2020-04-30,1689,1388,52.0
2020-05-01,1694,1389,52.0
2020-05-02,1699,1390,53.0
2020-05-03,1700,1386,55.0
2020-05-04,1703,1389,55.0
2020-05-05,1711,1395,55.0
2020-05-06,1713,1394,55.0
2020-05-07,1720,1391,56.0
2020-05-08,1725,965,56.0
2020-05-09,1733,926,60.0
2020-05-10,1739,929,60.0
2020-05-11,1741,929,61.0
2020-05-12,1746,908,61.0
2020-05-13,1751,913,61.0
2020-05-14,1758,787,62.0
2020-05-15,1766,780,63.0
2020-05-16,1770,773,63.0
2020-05-17,1774,773,63.0
2020-05-18,1784,782,64.0
2020-05-19,1791,789,64.0
2020-05-20,1794,774,64.0
2020-05-21,1800,248,64.0
2020-05-22,1807,235,64.0
2020-05-23,1821,231,64.0
2020-05-24,1823,227,64.0
2020-05-25,1824,221,65.0
2020-05-26,1834,217,65.0
2020-05-27,1840,213,66.0
2020-05-28,1851,211,66.0
2020-05-29,1859,182,67.0
2020-05-30,1865,176,67.0
2020-05-31,1869,177,68.0
