date,cases,active,death
2020-02-29,1.0001,0
2020-03-01,1.0002,0
2020-03-02,1.0003,0
2020-03-03,2,0
2020-03-04,6,0
2020-03-05,13,0
2020-03-06,18,0
2020-03-07,19,0
2020-03-08,21,0
2020-03-09,24,0
2020-03-10,34,0
2020-03-11,43,0
2020-03-12,70,0
2020-03-13,90,0
2020-03-14,129,0
2020-03-15,170,0
2020-03-16,223,0
2020-03-17,292,0
2020-03-18,366,0
2020-03-19,557,0
2020-03-20,683,0
2020-03-21,785,0
2020-03-22,906,0
2020-03-23,1125,0
2020-03-24,1329,0
2020-03-25,1564,0
2020-03-26,1819,0
2020-03-27,2121,0
2020-03-28,2415,0
2020-03-29,2615,0
2020-03-30,2910,0
2020-03-31,3235,0
2020-04-01,3447,0
2020-04-02,3849,0
2020-04-03,4273,4128
2020-04-04,4604,4442
2020-04-05,4994,4811
2020-04-06,5364,5165
2020-04-07,5709,5474
2020-04-08,6074,5814
2020-04-09,6574,6286
2020-04-10,8089,7777
2020-04-11,8928,8583
2020-04-12,9655,9296
2020-04-13,10647,10257
2020-04-14,11479,11048
2020-04-15,12547,12026,444.0
2020-04-16,13271,12708,486.0
2020-04-17,13980,13373,530.0
2020-04-18,14758,14110,571.0
2020-04-19,15251,14564,610.0
2020-04-20,15652,14888,687.0
2020-04-21,16040,6077,730.0
2020-04-22,16671,6669,769.0
2020-04-23,17607,7580,794.0
2020-04-24,18184,7937,1014.0
2020-04-25,18561,8265,1063.0
2020-04-26,19262,8942,1087.0
2020-04-27,19648,9313,1102.0
2020-04-28,19877,9485,1159.0
2020-04-29,20253,5677,1190.0
2020-04-30,20612,5994,1232.0
2020-05-01,20833,6182,1265.0
2020-05-02,21176,6504,1286.0
2020-05-03,21506,6817,1303.0
2020-05-04,21772,7067,1319.0
