date,cases,active,death
2020-03-07,1,0
2020-03-08,2,0
2020-03-09,6,0
2020-03-10,8,0
2020-03-11,10,0
2020-03-12,10.0001,0
2020-03-13,17,0
2020-03-14,26,0
2020-03-15,30,0
2020-03-16,34,0
2020-03-17,49,0
2020-03-18,71,0
2020-03-19,86,0
2020-03-20,111,0
2020-03-21,124,0
2020-03-22,139,0
2020-03-23,180,0
2020-03-24,197,0
2020-03-25,221,0
2020-03-26,244,0
2020-03-27,280,279
2020-03-28,305,0
2020-03-29,347,346
2020-03-30,376,375
2020-03-31,398,397
2020-04-01,446,445
2020-04-02,458,427
2020-04-03,493,491
2020-04-04,509,507
2020-04-05,533,531
2020-04-06,542,525
2020-04-07,548,530
2020-04-08,577,559
2020-04-09,589,570
2020-04-10,612,593
2020-04-11,630,611
2020-04-12,651,630
2020-04-13,655,634
2020-04-14,657,636
2020-04-15,666,617,5.0
2020-04-16,675,613,5.0
2020-04-17,682,589,5.0
2020-04-18,712,619,5.0
2020-04-19,727,634,5.0
2020-04-20,739,646,5.0
2020-04-21,748,606,9.0
2020-04-22,761,617,11.0
2020-04-23,778,634,11.0
2020-04-24,784,505,12.0
2020-04-25,804,525,12.0
2020-04-26,812,533,12.0
2020-04-27,818,538,13.0
2020-04-28,836,556,13.0
2020-04-29,849,486,15.0
2020-04-30,858,495,15.0
2020-05-01,870,506,16.0
2020-05-02,871,507,16.0
2020-05-03,879,515,16.0
2020-05-04,896,532,16.0
2020-05-05,900,419,17.0
2020-05-06,909,427,18.0
2020-05-07,928,446,18.1
2020-05-08,930,448,18.2
2020-05-09,939,457,18.3
2020-05-10,946,464,18.4
2020-05-11,950,305,18.5
2020-05-12,951,305,19.0
2020-05-13,962,316,19.0
2020-05-14,970,324,19.0
2020-05-15,997,316,19.0
2020-05-16,1008,327,19.0
2020-05-17,1009,328,19.0
2020-05-18,1012,297,21.0
2020-05-19,1016,301,21.0
2020-05-20,1025,309,22.0
2020-05-21,1030,296,22.0
2020-05-22,1046,312,22.0
2020-05-23,1047,313,22.0
2020-05-24,1049,315,22.0
2020-05-25,1053,290,22.0
2020-05-26,1057,293,23.0
2020-05-27,1061,296,24.0
2020-05-28,1064,295,24.0
2020-05-29,1065,296,24.0
2020-05-30,1066,297,24.0
2020-05-31,1066.5,297,24.0
2020-06-01,1071,287,24.0
2020-06-02,1079,295,24.0
2020-06-03,1082,297,25.0
2020-06-04,1085,279,25.0
2020-06-05,1086,280,25.0
2020-06-06,1088,282,25.0
2020-06-07,1088.3,281,26.0
2020-06-08,1088.6,281,26.0
2020-06-09,1089,269,26.0
2020-06-10,1092,272,26.0
2020-06-11,1096,251,27.0
2020-06-12,1096.5,251,27.0
2020-06-13,1097,224,28.0
2020-06-14,1097.5,224,28.0
2020-06-15,1097.6,195,28.0
2020-06-16,1098,195,28.0
2020-06-17,1104,199,30.0
2020-06-18,1108,175,30.0
2020-06-19,1110,177,30.0
2020-06-20,1111,178,30.0
2020-06-21,1111.1,178,30.0
2020-06-22,1111.2,178,30.0
2020-06-23,1111.3,178,30.0
2020-06-24,1111.4,178,30.0
2020-06-25,1111.5,178,30.0
2020-06-26,1112,150,30.0
2020-06-27,1115,153,30.0
2020-06-28,1116,154,30.0
2020-06-29,1117,155,30.0
2020-06-30,1118,114,30.0
2020-07-01,1121,117,30.0
2020-07-02,1122,104,30.0
2020-07-03,1122.1,95,30.0
2020-07-04,1123,93,30.0
2020-07-05,1127,97,30.0
2020-07-06,1134,96,30.0
2020-07-07,1141,103,30.0
2020-07-08,1154,105,30.0
2020-07-09,1165,116,30.0
2020-07-10,1173,124,30.0
2020-07-11,1173.5,124,30.0
2020-07-12,1174,124,31.0
2020-07-13,1174.5,124,31.0
2020-07-14,1178,125,31.0
2020-07-15,1179,126,31.0
2020-07-16,1185,132,31.0
2020-07-17,1189,136,31.0
2020-07-18,1192,139,31.0
2020-07-19,1192.5,139,31.0
2020-07-20,1193,117,31.0
2020-07-21,1197,121,31.0
2020-07-22,1203,127,31.0
2020-07-23,1205,129,31.0
2020-07-24,1206,130,31.0
2020-07-25,1219,143,31.0
2020-07-26,1219.5,143,31.0
2020-07-27,1220,137,31.0
2020-07-28,1224,141,31.0
2020-07-29,1228,145,31.0
2020-07-30,1231,147,32.0
2020-07-31,1238,154,32.0
2020-08-01,1243,159,32.0
2020-08-02,1246,162,32.0
2020-08-03,1249,147,32.0
2020-08-04,1257,155,32.0
2020-08-05,1275,173,32.0
2020-08-06,1281,179,32.0
2020-08-07,1288,186,32.0
2020-08-08,1290,188,32.0
2020-08-09,1290.5,188,32.0
2020-08-10,1293,183,32.0
2020-08-11,1303,193,32.0
2020-08-12,1307,197,32.0
2020-08-13,1308,198,32.0
2020-08-14,1315,205,32.0
2020-08-15,1322,212,32.0
2020-08-16,1323,213,32.0
2020-08-17,1323.5,197,33.0
2020-08-18,1326,200,33.0
2020-08-19,1327,201,33.0
2020-08-20,1330,204,33.0
2020-08-21,1333,207,33.0
2020-08-22,1337,211,33.0
2020-08-23,1337.5,211,33.0
2020-08-24,1342,174,33.0
2020-08-25,1360,192,33.0
2020-08-26,1366,169,34.0
2020-08-27,1375,178,34.0
2020-08-28,1381,184,34.0
2020-08-29,1393,196,34.0
2020-08-30,1396,199,34.0
2020-08-31,1404,197,34.0
2020-09-01,1406,199,34.0
2020-09-02,1410,189,34.0
2020-09-03,1416,194,35.0
2020-09-04,1425,203,35.0
2020-09-05,1428,206,35.0
2020-09-06,1429,207,35.0
2020-09-07,1432,210,35.0
2020-09-08,1443,174,35.0
2020-09-09,1448,165,35.0
2020-09-10,1459,176,35.0
2020-09-11,1464,181,35.0
2020-09-12,1474,191,35.0
2020-09-13,1477,194,35.0
2020-09-14,1482,199,35.0
2020-09-15,1486,203,35.0
2020-09-16,1494,210,36.0
2020-09-17,1498,214,36.0
2020-09-18,1515,231,36.0
2020-09-19,1525,241,36.0
2020-09-20,1526,242,36.0
2020-09-21,1560,276,36.0
2020-09-22,1572,288,36.0
2020-09-23,1594,310,36.0
2020-09-24,1625,341,36.0
2020-09-25,1654,314,36.0
2020-09-26,1676,336,36.0
2020-09-27,1697,357,36.0
2020-09-28,1729,385,36.0
2020-09-29,1729.5,385,37.0
2020-09-30,1824,480,37.0
2020-10-01,1868,524,37.0
2020-10-02,2019,674,38.0
2020-10-03,2086,741,38.0
2020-10-04,2126,780,39.0
2020-10-05,2194,832,40.0
2020-10-06,2261,899,40.0
2020-10-07,2370,1008,40.0
2020-10-08,2507,1145,40.0
2020-10-09,2596,1234,40.0
2020-10-10,2670,1308,40.0
2020-10-11,2765,1325,40.0
