date,cases,active,death
2020-03-02,2
2020-03-07,4
2020-03-09,6
2020-03-11,19
2020-03-12,34
2020-03-14,69
2020-03-15,96
2020-03-16,117
2020-03-17,134
2020-03-18,172
2020-03-19,227
2020-03-20,309
2020-03-21,450
2020-03-22,514
2020-03-23,579
2020-03-24,686
2020-03-25,790
2020-03-26,893
2020-03-27,1046
2020-03-28,1155
2020-03-29,1285
2020-03-30,1414
2020-03-31,1528
2020-04-01,1677
2020-04-02,1790
2020-04-03,1986
2020-04-04,2092,0
2020-04-05,2273,1911
2020-04-06,2491,2090
2020-04-07,2738,2313
2020-04-08,2956,2494
2020-04-09,3293,2761
2020-04-10,3512,2924
2020-04-11,3842,3229
2020-04-12,4241,3509
2020-04-13,4557,3778
2020-04-14,4839,3954
2020-04-15,5136,4221,469.0
2020-04-16,5516,4472,496.0
2020-04-17,5923,4796,520.0
2020-04-18,6248,5082,535.0
2020-04-19,6575,5307,582.0
2020-04-20,6760,5423,590.0
2020-04-21,7135,5677,616.0
2020-04-22,7418,5870,635.0
2020-04-23,7775,6168,647.0
2020-04-24,8211,6520,689.0
2020-04-25,8607,6845,720.0
2020-04-26,8882,7032,743.0
2020-04-27,9096,7180,765.0
2020-04-28,9511,7484,773.0
2020-04-29,9771,7596,784.0
2020-04-30,10118,7804,792.0
2020-05-01,10551,8160,800.0
2020-05-02,10843,8347,831.0
2020-05-03,11192,8471,845.0
2020-05-04,11587,8769,864.0
2020-05-05,12071,9002,872.0
2020-05-06,12438,9226,895.0
2020-05-07,12776,9465,930.0
2020-05-08,13112,9675,943.0
2020-05-09,13645,10079,959.0
2020-05-10,14032,10361,973.0
2020-05-11,14265,10393,991.0
2020-05-12,14749,10679,1007.0
2020-05-13,15438,11123,1028.0
2020-05-14,16006,11445,1043.0
2020-05-15,16496,11617,1076.0
2020-05-16,17025,12025,1089.0
2020-05-17,17514,12237,1148.0
2020-05-18,18010,12495,1191.0
2020-05-19,18496,12808,1221.0
2020-05-20,19189,13372,1242.0
2020-05-21,20162,14046,1278.0
2020-05-22,20796,14413,1326.0
2020-05-23,21745,15145,1351.0
2020-05-24,22271,15497,1372.0
2020-05-25,22750,15717,1391.0
2020-05-26,23165,15870,1418.0
2020-05-27,23851,16321,1473.0
2020-05-28,24538,16802,1496.0
2020-05-29,25216,17204,1520.0
2020-05-30,25773,17185,1573.0
2020-05-31,26473,17552,1613.0
2020-06-01,26940,17662,1641.0
2020-06-02,27549,17951,1663.0
2020-06-03,28233,18129,1698.0
2020-06-04,28818,18205,1721.0
2020-06-05,29521,18308,1770.0
2020-06-06,30514,18806,1801.0
2020-06-07,31186,18837,1851.0
2020-06-08,32033,19246,1883.0
2020-06-09,33076,19739,1923.0
2020-06-10,34316,20228,1959.0
2020-06-11,35295,20659,2000.0
2020-06-12,36406,21145,2048.0
2020-06-13,37420,21553,2091.0
2020-06-14,38277,21612,2134.0
2020-06-15,39294,21973,2198.0
2020-06-16,40400,22466,2231.0
2020-06-17,41431,22912,2276.0
2020-06-18,42762,23625,2339.0
2020-06-19,43803,24081,2373.0
2020-06-20,45029,24717,2429.0
2020-06-21,45891,25022,2465.0
2020-06-22,46845,25610,2500.0
2020-06-23,47896,26120,2535.0
2020-06-24,49009,26778,2573.0
2020-06-25,50187,27118,2620.0
2020-06-26,51427,27411,2683.0
2020-06-27,52812,28183,2720.0
2020-06-28,54010,28320,2754.0
2020-06-29,55092,28487,2805.0
2020-06-30,56385,28703,2876.0
2020-07-01,57770,29241,2934.0
2020-07-02,59394,29740,2987.0
2020-07-03,60695,30091,3036.0
2020-07-04,62142,30834,3089.0
2020-07-05,64958,31798,3241.0
