date,cases,active,death
2020-02-29,2
2020-03-01,4
2020-03-02,5
2020-03-09,7
2020-03-12,11
2020-03-13,16
2020-03-14,26
2020-03-15,41
2020-03-16,53
2020-03-17,82
2020-03-18,93
2020-03-19,118
2020-03-20,164
2020-03-21,203
2020-03-22,251
2020-03-23,316
2020-03-24,367
2020-03-25,405
2020-03-26,475
2020-03-27,585
2020-03-28,717
2020-03-29,848
2020-03-30,993
2020-03-31,1094
2020-04-01,1215
2020-04-02,1378
2020-04-03,1688
2020-04-04,1890,0
2020-04-05,2143,1416
2020-04-06,2439,1681
2020-04-07,2785,2011
2020-04-08,3181,2374
2020-04-09,3441,2614
2020-04-10,3844,2978
2020-04-11,4219,2174
2020-04-12,4661,2522
2020-04-13,5014,2718
2020-04-14,5399,2868
2020-04-15,5847,3273,449.0
2020-04-16,6297,3686,486.0
2020-04-17,6875,4204,546.0
2020-04-18,7497,4220,650.0
2020-04-19,8261,4948,686.0
2020-04-20,8772,5433,712.0
2020-04-21,9501,6017,857.0
2020-04-22,10544,6947,970.0
2020-04-23,11633,7937,1069.0
2020-04-24,12872,4502,1221.0
2020-04-25,13842,5388,1305.0
2020-04-26,14677,4972,1351.0
2020-04-27,15529,5009,1434.0
2020-04-28,16752,3760,1569.0
2020-04-29,17799,4644,1732.0
2020-04-30,19224,5942,1859.0
2020-05-01,20739,6390,1972.0
2020-05-02,22088,6580,2061.0
2020-05-03,23471,7870,2154.0
2020-05-04,24905,6696,2271.0
2020-05-05,26025,6708,2507.0
2020-05-06,27634,7149,2704.0
2020-05-07,29616,8874,2961.0
2020-05-08,31522,8048,3160.0
2020-05-09,33460,8283,3353.0
2020-05-10,35022,8457,3465.0
2020-05-11,36327,9654,3573.0
2020-05-12,38324,8463,3926.0
2020-05-13,40186,8976,4220.0
2020-05-14,42595,9643,4477.0
2020-05-15,45032,9814,4767.0
2020-05-16,47144,10251,5045.0
2020-05-17,49219,10713,5177.0
2020-05-18,51633,10913,5332.0
2020-05-19,54346,11355,5666.0
2020-05-20,56594,11628,6090.0
2020-05-21,59567,12400,6510.0
2020-05-22,62527,12813,6989.0
2020-05-23,65856,13758,7179.0
2020-05-24,68620,13802,7394.0
2020-05-25,71105,13582,7633.0
2020-05-26,74560,14207,8134.0
2020-05-27,78023,15043,8597.0
2020-05-28,81400,15718,9044.0
2020-05-29,84627,15602,9415.0
2020-05-30,87512,15862,9779.0
2020-05-31,90664,16408,9930.0
2020-06-01,93435,15777,10167.0
2020-06-02,97326,16381,10637.0
2020-06-03,101238,16238,11729.0
2020-06-04,105680,17687,12545.0
2020-06-05,110026,18266,13170.0
2020-06-06,113619,18564,13511.0
2020-06-07,117103,18985,13699.0
2020-06-08,120102,18416,14053.0
2020-06-09,124301,18904,14649.0
2020-06-10,129184,19897,15357.0
2020-06-11,133974,19966,15944.0
2020-06-12,139196,20981,16448.0
2020-06-13,142690,20843,16872.0
2020-06-14,146837,21586,17141.0
2020-06-15,150264,19678,17580.0
2020-06-16,154863,20375,18310.0
2020-06-17,159793,21358,19080.0
2020-06-18,165455,22613,19747.0
2020-06-19,170485,22759,20394.0
2020-06-20,175202,22735,20781.0
2020-06-21,180545,23441,21825.0
2020-06-22,185122,22420,22584.0
2020-06-23,191410,23585,23377.0
2020-06-24,196847,23205,24324.0
2020-06-25,202951,61029,25060.0
2020-06-26,208392,62051,25779.0
2020-06-27,212802,62624,26381.0
2020-06-28,216852,63361,26648.0
2020-06-29,220657,62272,27121.0
2020-06-30,226089,63363,27769.0
2020-07-01,231770,64941,28510.0
2020-07-02,238511,66729,29189.0
2020-07-03,245251,68203,29843.0
2020-07-04,252165,69490,30366.0
2020-07-05,256848,70605,30639.0
2020-07-06,261750,70974,31119.0
2020-07-07,268008,72348,32014.0
2020-07-08,275003,74412,32796.0
2020-07-09,282283,76527,33526.0
2020-07-10,289174,77886,34191.0
2020-07-11,295268,79686,34730.0
2020-07-12,299750,79980,35006.0
2020-07-13,304435,79881,35491.0
2020-07-14,311486,81183,36327.0
2020-07-15,317635,81600,36906.0
2020-07-16,324041,83003,37574.0
2020-07-17,331298,84552,38310.0
2020-07-18,338913,87019,38888.0
2020-07-19,344224,87617,39184.0
2020-07-20,349396,87843,39485.0
2020-07-21,356255,88690,40400.0
2020-07-22,362274,89681,41190.0
2020-07-23,370712,92595,41908.0
2020-07-24,378285,92948,42645.0
2020-07-25,385036,94484,43374.0
2020-07-26,390516,95331,43680.0
2020-07-27,395489,94690,44022.0
2020-07-28,402697,96364,44876.0
2020-07-29,408449,95941,45361.0
2020-07-30,416179,97992,46000.0
2020-07-31,424637,99331,46688.0
2020-08-01,434193,101874,47472.0
2020-08-02,439046,101906,47746.0
2020-08-03,443813,100124,48012.0
2020-08-04,449961,100838,48869.0
2020-08-05,456100,101694,49698.0
2020-08-06,462690,103325,50517.0
2020-08-07,469407,104710,51311.0
2020-08-08,475902,105258,52006.0
2020-08-09,480278,105515,52298.0
2020-08-10,485836,104840,53003.0
2020-08-11,492522,105793,53929.0
2020-08-12,498380,107079,54666.0
2020-08-13,505751,108951,55293.0
2020-08-14,511369,109808,55908.0
2020-08-15,517714,109799,56543.0
2020-08-16,522162,110304,56757.0
2020-08-17,525733,109363,57023.0
2020-08-18,531239,110158,57774.0
2020-08-19,537031,111013,58481.0
2020-08-20,543806,113062,59106.0
