date,cases,active,death
2020-03-01,1
2020-03-02,3
2020-03-04,8
2020-03-07,11
2020-03-08,12
2020-03-09,15
2020-03-10,18
2020-03-11,24
2020-03-12,262
2020-03-14,320
2020-03-15,337
2020-03-16,401
2020-03-17,439
2020-03-18,442
2020-03-19,452
2020-03-20,460
2020-03-21,470
2020-03-22,481
2020-03-23,494
2020-03-24,501
2020-03-25,526
2020-03-26,537
2020-03-27,549
2020-03-28,562
2020-03-29,590
2020-03-30,634
2020-03-31,693
2020-04-01,781
2020-04-02,835
2020-04-03,949
2020-04-05,1325
2020-04-05,1604,1477
2020-04-06,1832,1697
2020-04-07,2057,1901
2020-04-08,2210,2026
2020-04-09,2376,2164
2020-04-10,2512,2279
2020-04-11,2728,2475
2020-04-12,2979,2697
2020-04-13,3231,2890
2020-04-14,3428,3048
2020-04-15,3711,3298,7.0
2020-04-16,4103,3681,7.0
2020-04-17,4663,4192,7.0
2020-04-18,5008,4490,8.0
2020-04-19,5448,4922,8.0
2020-04-20,6015,5451,9.0
2020-04-21,6533,5910,9.0
2020-04-22,7141,6442,10.0
2020-04-23,7764,7004,10.0
2020-04-24,8525,7706,10.0
2020-04-25,9358,8419,10.0
2020-04-26,10287,9265,10.0
2020-04-27,11244,10168,10.0
2020-04-28,11921,10777,10.0
2020-04-29,12564,11311,10.0
2020-04-30,13409,12027,10.0
2020-05-01,14096,12648,12.0
2020-05-02,14872,13326,12.0
2020-05-03,15551,13875,12.0
2020-05-04,16191,14369,12.0
2020-05-05,17142,15206,12.0
2020-05-06,17972,15890,12.0
2020-05-07,18890,16592,12.0
2020-05-08,20201,17819,12.0
2020-05-09,21331,18869,13.0
2020-05-10,22520,19753,14.0
2020-05-11,23623,20769,14.0
2020-05-12,25149,22116,14.0
2020-05-13,26539,23382,14.0
2020-05-14,28272,24902,14.0
2020-05-15,29425,25865,14.0
2020-05-16,30972,27169,15.0
2020-05-17,32604,28219,15.0
2020-05-18,33969,29055,15.0
2020-05-19,35606,29957,15.0
2020-05-20,37097,30481,16.0
2020-05-21,38651,31346,17.0
2020-05-22,40481,32569,19.0
2020-05-23,42213,33679,21.0
2020-05-24,43714,34521,23.0
2020-05-25,45465,35076,26.0
2020-05-26,47207,35335,28.0
2020-05-27,48947,35634,30.0
2020-05-28,50914,35482,33.0
2020-05-29,52907,32267,36.0
2020-05-30,55262,29387,36.0
2020-05-31,56910,26582,38.0
2020-06-01,58433,24956,40.0
2020-06-02,60259,24180,43.0
2020-06-03,62160,24573,45.0
2020-06-04,63741,24228,45.0
2020-06-05,65495,24511,49.0
2020-06-06,67195,24617,51.0
2020-06-07,68790,24398,54.0
2020-06-08,70158,24166,57.0
2020-06-09,71879,24248,62.0
2020-06-10,73595,24116,66.0
2020-06-11,75071,23671,69.0
2020-06-12,76588,23222,70.0
2020-06-13,78416,23094,70.0
2020-06-14,79602,22631,73.0
2020-06-15,80876,22119,76.0
2020-06-16,82077,21536,80.0
2020-06-17,83174,20920,82.0
2020-06-18,84441,20713,86.0
2020-06-19,85462,19960,93.0
2020-06-20,86488,19631,94.0
2020-06-21,87369,18952,98.0
2020-06-22,88403,18348,99.0
2020-06-23,89579,17979,99.0
2020-06-24,90778,17591,104.0
2020-06-25,91838,17188,106.0
2020-06-26,92784,16603,109.0
2020-06-27,93663,16328,110.0
2020-06-28,94413,15601,110.0
2020-06-29,95106,14823,113.0
2020-06-30,96088,14411,113.0
2020-07-01,97003,12923,115.0
2020-07-02,97897,11182,118.0
2020-07-03,98653,9949,121.0
2020-07-04,99183,8673,123.0
2020-07-05,99799,7387,128.0
2020-07-06,100345,6314,133.0
2020-07-07,100945,5908,134.0
2020-07-08,101553,5308,138.0
2020-07-09,102110,4696,142.0
2020-07-10,102630,4251,146.0
2020-07-11,103128,4048,146.0
2020-07-12,103598,3708,147.0
2020-07-13,104016,3240,149.0
