date,cases,active,death
2020-02-27,1,0,0
2020-02-28,2,0,0
2020-02-29,7,0,0
2020-03-01,10,0,0
2020-03-02,18,0,0
2020-03-03,23,0,0
2020-03-04,38,0,0
2020-03-05,82,0,0
2020-03-06,128,0,1
2020-03-07,188,0,1.001
2020-03-08,265,0,3
2020-03-09,321,0,4
2020-03-10,382,0,4.001
2020-03-11,503,0,5
2020-03-12,614,0,5.001
2020-03-13,804,0,10
2020-03-14,959,0,12
2020-03-15,1135,0,20
2020-03-16,1413,0,24
2020-03-17,1705,0,43
2020-03-18,2051,0,58
2020-03-19,2460,0,76
2020-03-20,2994,0,106
2020-03-21,3631,0,136
2020-03-22,4204,0,179
2020-03-23,4749,0,231
2020-03-24,5560,0,276
2020-03-25,6412,0,356
2020-03-26,7431,0,434
2020-03-27,8603,8054,546
2020-03-28,9762,9120,639
2020-03-29,10866,9845,771
2020-03-30,11750,10636,864
2020-03-31,12595,11306,1039
2020-04-01,13614,12191,1173
2020-04-02,14697,13108,1339
2020-04-03,15723,13986,1487
2020-04-04,16627,14726,1651
2020-04-05,17851,15835,1766
2020-04-06,18803,16686,1867
2020-04-07,19580,17229,2101
2020-04-08,20549,18051,2248
2020-04-09,21762,19116,2396
2020-04-10,23097,20336,2511
2020-04-11,24413,21520,2643
2020-04-12,25587,22600,2737
2020-04-13,26551,23478,2823
2020-04-14,27419,24224,2945
2020-04-15,28153,24769,3134.0
2020-04-16,29214,25649,3315.0
2020-04-17,30449,26740,3459.0
2020-04-18,31589,27738,3601.0
2020-04-19,32655,28721,3684.0
2020-04-20,33405,29404,3751.0
2020-04-21,34134,29968,3916.0
2020-04-22,34842,30538,4054.0
2020-04-23,35729,31302,4177.0
2020-04-24,36535,31996,4289.0
2020-04-25,37190,32531,4409.0
2020-04-26,37845,33120,4475.0
2020-04-27,38245,33477,4518.0
2020-04-28,38416,33600,4566.0
2020-04-29,38802,33841,4711.0
2020-04-30,39316,34271,4795.0
2020-05-01,39791,34648,4893.0
2020-05-02,40236,34999,4987.0
2020-05-03,40571,35265,5056.0
2020-05-04,40770,35438,5082.0
2020-05-05,41087,35669,5168.0
2020-05-06,41319,35865,5204.0
2020-05-07,41774,36236,5288.0
2020-05-08,42093,36484,5359.0
2020-05-09,42382,36710,5422.0
2020-05-10,42627,36937,5440.0
2020-05-11,42788,37082,5456.0
2020-05-12,42984,37224,5510.0
2020-05-13,43211,37399,5562.0
2020-05-14,43481,0,5590.0
2020-05-15,43681,0,5643.0
2020-05-16,43870,0,5670.0
2020-05-17,43995,0,5680.0
2020-05-18,44141,0,5694.0
2020-05-19,44249,0,5715.0
2020-05-20,44447,0,5748.0
2020-05-21,44700,0,5775.0
2020-05-22,44888,0,5788.0
2020-05-23,45064,0,5811.0
2020-05-24,45236,0,5822.0
2020-05-25,45445,0,5830.0
2020-05-26,45578,0,5856.0
2020-05-27,45768,0,5871.0
2020-05-28,45950,0,5903.0
2020-05-29,46126,0,5931.0
2020-05-30,46257,0,5951.0
2020-05-31,46442,0,5956.0
2020-06-01,46545,0,5962.0
2020-06-02,46647,0,5967.0
2020-06-03,46733,0,5977.0
2020-06-04,46942,0,5990.0
2020-06-05,47152,0,6005.0
2020-06-06,47335,0,6011.0
2020-06-07,47574,0,6013.0
2020-06-08,47739,0,6016.0
2020-06-09,47903,0,6031.0
2020-06-10,48087,0,6042.0
2020-06-11,48251,0,6044.0
2020-06-12,48461,0,6053.0
2020-06-13,48640,0,6057.0
2020-06-14,48783,0,6059.0
2020-06-15,48948,0,6065.0
2020-06-16,49087,0,6070.0
2020-06-17,49204,0,6074.0
2020-06-18,49319,0,6078.0
2020-06-19,49426,0,6081.0
2020-06-20,49502,0,6089.0
2020-06-21,49593,0,6090.0
2020-06-22,49658,0,6090.0
2020-06-23,49722,0,6095.0
2020-06-24,49804,0,6097.0
2020-06-25,49914,0,6100.0
2020-06-26,50005,0,6103.0
2020-06-27,50074,0,6105.0
2020-06-28,50147,0,6105.0
2020-06-29,50223,0,6107.0
2020-06-30,50273,0,6113.0
2020-07-01,50273.5,0,6113.0
2020-07-02,50335,0,6113.0
2020-07-03,50335.3,0,6113.0
2020-07-04,50335.6,0,6113.0
2020-07-05,50621,0,6127.0
2020-07-06,50657,0,6128.0
2020-07-07,50694,0,6132.0
2020-07-08,50746,0,6135.0
2020-07-09,50798,0,6137.0
2020-07-10,50840,0,6136.0
2020-07-11,50921,0,6137.0
2020-07-12,51022,0,6137.0
2020-07-13,51093,0,6137.0
2020-07-14,51146,0,6135.0
2020-07-15,51252,0,6136.0
2020-07-16,51351,0,6137.0
2020-07-17,51454,0,6138.0
2020-07-18,51581,0,6136.0
2020-07-19,51725,0,6136.0
2020-07-20,51910,0,6136.0
2020-07-21,52073,0,6136.0
2020-07-22,52242,0,6139.0
2020-07-23,52404,0,6139.0
2020-07-24,52595,0,6139.0
2020-07-25,52732,0,6139.0
2020-07-26,52946,0,6139.0
2020-07-27,53151,0,6141.0
2020-07-28,53374,0,6145.0
2020-07-29,53621,0,6147.0
2020-07-30,53963,0,6147.0
2020-07-31,54301,0,6147.0
2020-08-01,54732,0,6148.0
2020-08-02,55098,0,6149.0
2020-08-03,55470,0,6149.0
2020-08-04,55955,0,6150.0
2020-08-05,56381,0,6153.0
2020-08-06,56982,0,6153.0
2020-08-07,57501,0,6154.0
2020-08-08,57987,0,6157.0
2020-08-09,58564,0,6157.0
2020-08-10,59194,0,6157.0
2020-08-11,59973,0,6159.0
2020-08-12,60627,0,6161.0
2020-08-13,61204,0,6165.0
2020-08-14,61840,0,6167.0
2020-08-15,62495,0,6169.0
2020-08-16,63002,0,6172.0
2020-08-17,63484,0,6172.0
2020-08-18,63973,0,6175.0
2020-08-19,64525,0,6181.0
2020-08-20,65054,0,6191.0
2020-08-21,65589,0,6195.0
2020-08-22,66097,0,6200.0
2020-08-23,66554,0,6200.0
2020-08-24,67128,0,6202.0
2020-08-25,67543,0,6207.0
2020-08-26,68114,0,6215.0
2020-08-27,68624,0,6218.0
2020-08-28,69131,0,6220.0
2020-08-29,69632,0,6224.0
2020-08-30,70140,0,6224.0
2020-08-31,70667,0,6224.0
2020-09-01,71129,0,6230.0
2020-09-02,71863,0,6235.0
2020-09-03,72464,0,6235.0
2020-09-04,73208,0,6237.0
2020-09-05,73862,0,6241.0
2020-09-06,74787,0,6243.0
2020-09-07,75584,0,6243.0
2020-09-08,76548,0,6244.0
2020-09-09,77688,0,6246.0
2020-09-10,78511,0,6249.0
2020-09-11,79781,0,6252.0
